genus_vernacular;species_vernacular;genus_scientific;genus_author;species_scientific;primary_use;secondary_use;wild
Dotterblume;Schwimmende D.;Caltha;L.;C. natans;Z;NA;NA
Dotterblume;Westamerikanische D.;Caltha;L.;C. leptosepala;Z;NA;NA
Dotterblume;Sumpf-D.;Caltha;L.;C. palustris;Z;NA;W
Trollblume;Kaschmir-T.;Trollius;L.;T. acaulis;Z;NA;NA
Trollblume;Chinesische T.;Trollius;L.;T. chinensis;Z;NA;NA
Trollblume;Asiatische T.;Trollius;L.;T. asiaticus;Z;NA;NA
Trollblume;Niedrige T.;Trollius;L.;T. pumilus;Z;NA;NA
Tulpe;Niedrige T.;Tulipa;L.;T. humilis;Z;NA;NA
Trollblume, Kugelranunkel;Yunnan-T.;Trollius;L.;T. yunnanensis;Z;NA;NA
Schwarzkümmel;Damaszener Sch., Jungfer im Grünen, Braut in Haaren;Nigella;L.;N. damascena;Z;NA;NA
Schwarzkümmel;Spanischer Sch.;Nigella;L.;N. hispanica;Z;NA;NA
Schwarzkümmel;Echter Sch.;Nigella;L.;N. sativa;N;Z;NA
Eisenhut, Sturmhut;Weißvioletter E.;Aconitum;L.;A. alboviolaceum var. alboviolace;Z;NA;NA
Eisenhut, Sturmhut;Hemsley-E.;Aconitum;L.;A. hemsleyanum;Z;NA;NA
Eisenhut, Sturmhut;Windender E.;Aconitum;L.;A. volubile;Z;NA;NA
Eisenhut, Sturmhut;Henry-E.;Aconitum;L.;A. henryi var. henryi;Z;NA;NA
Eisenhut, Sturmhut;Feinblatt-E., Blassgelber E., Giftheil;Aconitum;L.;A. anthora;Z;NA;NA
Eisenhut, Sturmhut;Gelber E., Wolfs-E.;Aconitum;L.;A. lycoctonum;Z;NA;W
Eisenhut, Sturmhut;Moldawischer E.;Aconitum;L.;A. moldavicum;Z;NA;NA
Eisenhut, Sturmhut;Chinesischer E.;Aconitum;L.;A. carmichaelii;Z;NA;NA
Eisenhut, Sturmhut;Bunter E.;Aconitum;L.;A. variegatum;Z;NA;W
Eisenhut, Sturmhut;Blauer E.;Aconitum;L.;A. napellus;Z;NA;W
Eisenhut, Sturmhut;Rispen-E.;Aconitum;L.;A. degenii;Z;NA;W
Eisenhut, Sturmhut;Raustiel-E., Behaarter E.;Aconitum;L.;A. pilipes;Z;NA;W
Eisenhut, Sturmhut;Tauern-E.;Aconitum;L.;A. tauricum;Z;NA;W
Eisenhut, Sturmhut;Sudeten-E.;Aconitum;L.;A. plicatum;Z;NA;W
Rittersporn;Gelber R.;Delphinium;L.;D. semibarbatum;Z;NA;NA
Reiherschnabel;Gelber R.;Erodium;L’HÉR;E. chrysanthum;Z;NA;NA
Rittersporn;Roter R.;Delphinium;L.;D. cardinale;Z;NA;NA
Rittersporn;Nacktstängliger R.;Delphinium;L.;D. nudicaule;Z;NA;NA
Rittersporn;Mittelmeer-R., Stephanskraut;Delphinium;L.;D. staphisagria;Z;NA;NA
Rittersporn;Himalaja-R.;Delphinium;L.;D. brunonianum;Z;NA;NA
Rittersporn;Hoher-R.;Delphinium;L.;D. elatum;Z;NA;NA
Rittersporn;Kaschmir-R.;Delphinium;L.;D. cashmerianum;Z;NA;NA
Rittersporn;Schlitzblättriger R.;Delphinium;L.;D. fissum;Z;NA;NA
Rittersporn;Großblütiger R.;Delphinium;L.;D. grandiflorum;Z;NA;NA
Rittersporn;Feld-R.;Consolida;(DC.);C. regalis;Z;NA;W
Ringelblume;Garten-R.;Calendula;L.;C. officinalis;Z;NA;W
Rittersporn;Garten-R.;Consolida;(DC.);C. ajacis;Z;NA;W
Rittersporn;Orientalischer R.;Consolida;(DC.);C. hispanica;Z;NA;W
Rauling;Orientalischer R.;Trachystemon;D. DON;T. orientalis;Z;NA;NA
Wimperfarn;Alpen-W.;Woodsia;R. BR.;W. alpina;Z;NA;W
Wiesenraute;Alpen-W.;Thalictrum;L.;Th. alpinum;Z;NA;W
Wiesenraute;Chinesische W.;Thalictrum;L.;Th. delavayi var. delavayi;Z;NA;NA
Wiesenraute;Akelei-W.;Thalictrum;L.;Th. aquilegifolium;Z;NA;W
Wiesenraute;Gelbe W.;Thalictrum;L.;Th. flavum;Z;NA;W
Rautenanemone;Rautenanemone;Anemonella;SPACH;A. thalictroides;Z;NA;NA
Windröschen, Anemone;Weinblättrige A.;Anemone;L.;A. vitifolia;Z;NA;NA
Windröschen, Anemone;Filzblättrige A.;Anemone;L.;A. tomentosa;Z;NA;NA
Adonisröschen;Herbst-A.;Adonis;L.;A. annua;Z;NA;W
Windröschen, Anemone;Herbst-A.;Anemone;L.;A. hupehensis var. hupensis;Z;NA;W
Windröschen, Anemone;Carolina-A.;Anemone;L.;A. caroliniana;Z;NA;NA
Windröschen, Anemone;Westmediterrane A.;Anemone;L.;A. palmata;Z;NA;NA
Windröschen, Anemone;Garten-A., Kronen-A.;Anemone;L.;A. coronaria;Z;NA;NA
Windröschen, Anemone;Stern-A.;Anemone;L.;A. hortensis;Z;NA;NA
