genus_vernacular;species_vernacular;genus_scientific;genus_author;species_scientific;primary_use;secondary_use;wild
Braunelle;Großblütige B.;Prunella;L.;B. speciosa;Z;NA;NA
Braunelle;Großblütige B.;Prunella;L.;B. speciosa;Z;NA;W
Braunelle;Großblütige B.;Prunella;L.;B. speciosa;Z;NA;NA
Braunelle;Weiße B.;Prunella;L.;P. laciniata;Z;NA;W
Braunelle;Gewöhnliche B.;Prunella;L.;L. cotyledon;Z;NA;NA
Braunelle;Gewöhnliche B.;Prunella;L.;L. cotyledon;N;NA;W
Braunelle;Gewöhnliche B.;Prunella;L.;L. cotyledon;Z;NA;W
Braunelle;Ysopblättrige B.;Prunella;L.;NA;NA;NA;NA
Monarde, Indianernessel;Punktierte M.;Monarda;L.;M. punctata;Z;NA;NA
Monarde, Indianernessel;Zitronen-M.;Monarda;L.;M. officinalis;N;NA;W
Monarde, Indianernessel;Russel-M.;Monarda;L.;M. russeliana;Z;NA;NA
Monarde, Indianernessel;Scharlach-M., Goldmelisse;Monarda;L.;M. didyma;Z;NA;NA
Monarde, Indianernessel;Wilde M.;Monarda;L.;M. sylv;Z;NA;NA
Perowskie;Fiederschnittige P., Eberrauten-P.;Perovskia;KAR.;P. abrotanoides;Z;NA;NA
Perowskie;Silber-P., Meldenblättrige P.;Perovskia;KAR.;P. atriplicifolia;Z;NA;NA
Salbei;Mazedonischer S.;Salvia;L.;S. jurisicii;Z;NA;NA
Salbei;Kleb-S.;Salvia;L.;S. glutinosa;Z;NA;W
Salbei;Echter S.;Salvia;L.;S. officinalis;N;Z;NA
Salbei;Filziger S.;Salvia;L.;NA;NA;NA;NA
Salbei;Quirl-S.;Salvia;L.;S. verticillata;Z;NA;W
Salbei;Mexikanischer S.;Salvia;L.;S. patens;Z;NA;NA
Salbei;Glänzender S.;Salvia;L.;S. splendens;Z;NA;NA
Salbei;Glänzender S.;Salvia;L.;S. splendens;Z;NA;NA
Salbei;Mehl-S.;Salvia;L.;S. farinacea;Z;NA;NA
Salbei;Peruanischer S.;Salvia;L.;S. discolor;Z;NA;NA
Salbei;Glänzender S.;Salvia;L.;S. splendens;Z;NA;NA
Salbei;Glänzender S.;Salvia;L.;S. splendens;Z;NA;NA
Salbei;Scharlachroter S.;Salvia;L.;S. coccinea;Z;NA;NA
Salbei;Ananas-S., Honigmelonen-S.;Salvia;L.;NA;NA;NA;NA
Salbei;Nickender S.;Salvia;L.;O. pes-caprae;Z;NA;NA
Salbei;Buntschopf-S.;Salvia;L.;S. viridis;Z;NA;NA
Salbei;Ungarischer S.;Salvia;L.;S. aethiopis;Z;NA;W
Salbei;Steppen-S;Salvia;L.;S. nemorosa;Z;NA;W
Salbei;Wiesen-S.;Salvia;L.;S. pratensis;Z;NA;W
Salbei;Muskateller-S.;Salvia;L.;S. sclarea;Z;NA;W
Salbei;Wiesen-S.;Salvia;L.;S. pratensis;Z;NA;W
Salbei;Silberblatt-S.;Salvia;L.;S. argentea;Z;NA;NA
Salbei;Silberblatt-S.;Salvia;L.;S. argentea;Z;NA;NA
Salbei;Reinweißblütiger S.;Salvia;L.;S. candidissima;Z;NA;NA
Helmkraut;Alpen-H.;Scutellaria;L.;R. alpestris;Z;NA;W
Helmkraut;Alpen-H.;Scutellaria;L.;R. alpestris;Z;NA;NA
Helmkraut;Orient-H.;Scutellaria;L.;S. orientalis;Z;NA;NA
Helmkraut;Chinesisches H., Baikal-H.;Scutellaria;L.;S. baicalensis;Z;NA;NA
Helmkraut;Hohes H.;Scutellaria;L.;S. altissima;Z;NA;NA
Helmkraut;Weißgraues H.;Scutellaria;L.;NA;NA;NA;NA
Fächerblume, Spaltglocke;Blauviolette F.;Scaevola;L.;S. aemula;Z;NA;NA
Fächerblume, Spaltglocke;Hooker-F.;Scaevola;L.;NA;NA;NA;NA
Fächerblume, Spaltglocke;Ringelblumen-F.;Scaevola;L.;NA;NA;NA;NA
Glockenblume;Knäuel-G.;Campanula;L.;C. glomerata;Z;NA;W
Glockenblume;Strauß-G.;Campanula;L.;L. thyrsiflora;Z;NA;W
Glockenblume;Strauß-G.;Campanula;L.;L. thyrsiflora;Z;NA;W
Glockenblume;Krainer Strauß-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Ährige G.;Campanula;L.;C. spicata;Z;NA;NA
Glockenblume;Marien-G.;Campanula;L.;C. medium;Z;NA;W
Glockenblume;Pyrenäen-G.;Campanula;L.;T. pyrenaicum;Z;NA;NA
Glockenblume;Pfirsichblättrige G.;Campanula;L.;C. persicifolia;Z;NA;W
Glockenblume;Große Pfirsichblättrige G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Rapunzel-G.;Campanula;L.;C. rapunculus;N;NA;W
Glockenblume;Wiesen-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Pyramiden-G.;Campanula;L.;A. pyramidalis;Z;NA;W
Glockenblume;Pyramiden-G.;Campanula;L.;A. pyramidalis;Z;NA;NA
Glockenblume;Verschiedenfarbige G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Karpaten-G.;Campanula;L.;C. carpatica;Z;NA;NA
Glockenblume;Punktierte G.;Campanula;L.;C. punctata;Z;NA;NA
Glockenblume;Punktierte G.;Campanula;L.;C. punctata;Z;NA;NA
Glockenblume;Korea-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Knoblauchraukenblättrige G.;Campanula;L.;C. alliariifolia;Z;NA;W
Glockenblume;Sarmatische G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Riesen-G.;Campanula;L.;Ch. giganteum;Z;NA;NA
Glockenblume;Riesen-G.;Campanula;L.;Ch. giganteum;Z;NA;W
Glockenblume;Acker-G.;Campanula;L.;G. muralis;Z;NA;W
Glockenblume;Breitblättrige G.;Campanula;L.;C. latifolia;Z;NA;W
Glockenblume;Nesselblättrige G.;Campanula;L.;C. trachelium;Z;NA;W
Glockenblume;Grossek-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Punktierte G.;Campanula;L.;C. punctata;Z;NA;NA
Glockenblume;Punktierte G.;Campanula;L.;C. punctata;Z;NA;NA
Glockenblume;Birkenblättrige G.;Campanula;L.;C. betulifolia;Z;NA;NA
Glockenblume;Kaukasus-G.;Campanula;L.;C. raddeana;Z;NA;NA
Glockenblume;Kaukasus-G.;Campanula;L.;C. raddeana;Z;NA;NA
Glockenblume;Berghügel-G.;Campanula;L.;C. collina;Z;NA;NA
Glockenblume;Alpen-G.;Campanula;L.;A. alpina;Z;NA;W
Glockenblume;Alpen-G.;Campanula;L.;A. alpina;Z;NA;W
Glockenblume;Bärtige G.;Campanula;L.;C. barbata;Z;NA;W
Glockenblume;Seealpen-G., Allioni-G.;Campanula;L.;C. alpestris;Z;NA;NA
Glockenblume;Chamisso-G.;Campanula;L.;C. chamissonis;Z;NA;NA
Glockenblume;Gänseblümchenblättrige G.;Campanula;L.;C. bellidifolia;Z;NA;NA
Glockenblume;Dreizähnige G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Aucher-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Bieberstein-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Steinbrech-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Zois-G.;Campanula;L.;C. zoysii;Z;NA;NA
Glockenblume;Ausgeschnittene G.;Campanula;L.;C. excisa;Z;NA;NA
Glockenblume;Dunkle G.;Campanula;L.;C. pulla;Z;NA;NA
Glockenblume;Mt. Cenis-G.;Campanula;L.;C. cenisia;Z;NA;NA
Glockenblume;Insubrische G., Rainer-G.;Campanula;L.;C. raineri;Z;NA;NA
Glockenblume;Dolomiten-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Oviedo-G.;Campanula;L.;C. arvatica;Z;NA;NA
Glockenblume;Piper-G.;Campanula;L.;C. piperi;Z;NA;NA
Glockenblume;Dalmatiner G.;Campanula;L.;C. portenschlagiana;Z;NA;NA
Glockenblume;Hängepolster-G., Poscharsky-G.;Campanula;L.;C. poscharskyana;Z;NA;NA
Glockenblume;Stern-G.;Campanula;L.;C. isophylla;Z;NA;NA
Glockenblume;Zerbrechliche G.;Campanula;L.;C. fragilis;Z;NA;NA
Glockenblume;Sternpolster-G., Gargano-G.;Campanula;L.;C. garganica;Z;NA;NA
Glockenblume;Fenster-G.;Campanula;L.;NA;NA;NA;NA
Glockenblume;Lombardische G.;Campanula;L.;C. elatinoides;Z;NA;NA
Glockenblume;Piemonteser G.;Campanula;L.;C. elatines;Z;NA;NA
Glockenblume;Waldstein-G.;Campanula;L.;C. waldsteiniana;Z;NA;NA
Glockenblume;Tommasini-G.;Campanula;L.;C. tommasiniana;Z;NA;NA
Glockenblume;Rundblättrige G.;Campanula;L.;C. rotundifolia;Z;NA;W
Glockenblume;Rasen-G.;Campanula;L.;C. cespitosa;Z;NA;NA
Glockenblume;Zwerg-G.;Campanula;L.;G. magellanica;Z;NA;NA
Glockenblume;Zwerg-G.;Campanula;L.;G. magellanica;Z;NA;W
Glockenblume;Scheuchzer-G.;Campanula;L.;C. scheuchzeri;Z;NA;W
Glockenblume;Leinblatt-G., Karnische G.;Campanula;L.;C. linifolia;Z;NA;NA
Steinglocke;Wanner-St.;Symphyandra;A. DC.;S. wanneri;Z;NA;NA
Steinglocke;Kretische St.;Symphyandra;A. DC.;S. cretica;Z;NA;NA
Steinglocke;Hofmann-St., Bosnische St.;Symphyandra;A. DC.;S. hofmannii;Z;NA;NA
Steinglocke;Zangezur-St.;Symphyandra;A. DC.;S. zangezura;Z;NA;NA
Steinglocke;Hängende St.;Symphyandra;A. DC.;S. pendula;Z;NA;NA
Steinglocke;Armenische St.;Symphyandra;A. DC.;S. armena;Z;NA;NA
Schellenblume;Dreiblättrige Sch., Quirlige Sch.;Adenophora;FISCH.;A. triphylla;Z;NA;NA
Schellenblume;Lilienblättrige Sch.;Adenophora;FISCH.;A. liliifolia;Z;NA;W
Schellenblume;Bulley-Sch.;Adenophora;FISCH.;A. bulleyana;Z;NA;NA
Schellenblume;Verkannte Sch.;Adenophora;FISCH.;NA;NA;NA;NA
Schellenblume;Potanin-Sch.;Adenophora;FISCH.;NA;NA;NA;NA
Schellenblume;Dreispitzige Sch.;Adenophora;FISCH.;NA;NA;NA;NA
Schellenblume;Tashiro-Sch.;Adenophora;FISCH.;NA;NA;NA;NA
Schellenblume;Nikko-Sch.;Adenophora;FISCH.;NA;NA;NA;NA
Frauenspiegel, Venusspiegel;Fünfkantiger F.;Legousia;DURANDE;L. pentagonia;Z;NA;NA
Frauenspiegel, Venusspiegel;Echter F.;Legousia;DURANDE;L. speculum-veneris;Z;NA;W
Türkenglocke, Michauxie;Gewöhnliche T.;Michauxia;L’HÉR.;M. campanuloides;Z;NA;NA
Türkenglocke, Michauxie;Gewöhnliche T.;Michauxia;L’HÉR.;M. campanuloides;N;Z;NA
Halskraut;Blaues H.;Trachelium;L.;T. coeruleum;Z;NA;NA
Halskraut;Jacquin-H.;Trachelium;L.;NA;NA;NA;NA
Halskraut;Waldmeister-H.;Trachelium;L.;T. asperuloides;Z;NA;NA
Teufelskralle, Rapunzel;Halbkugelige T.;Phyteuma;L.;P. hemisphaericum;Z;NA;W
Teufelskralle, Rapunzel;Niedrige T., Niedrige Rapunzel;Phyteuma;L.;NA;NA;NA;NA
Teufelskralle, Rapunzel;Kugel-T., Kopfige T.;Phyteuma;L.;P. orbiculare;Z;NA;W
Teufelskralle, Rapunzel;Scheuchzer-T.;Phyteuma;L.;NA;NA;NA;NA
Teufelskralle, Rapunzel;Apenninen-T.;Phyteuma;L.;P. charmelii;Z;NA;NA
Teufelskralle, Rapunzel;Ährige T.;Phyteuma;L.;P. spicatum;Z;NA;W
Teufelskralle, Rapunzel;Schwarze T.;Phyteuma;L.;P. nigrum;Z;NA;W
Teufelskralle, Rapunzel;Eirunde T., Haller-T.;Phyteuma;L.;P. ovatum;Z;NA;W
Teufelskralle, Rapunzel;Ziestblättrige T.;Phyteuma;L.;NA;NA;NA;NA
Schopfteufelskralle;Schopfteufelskralle;Physoplexis;SCHUR;NA;NA;NA;NA
Glockenwinde, Tigerglocke;Eiblättrige T.;Codonopsis;WALL.;C. ovata;Z;NA;NA
Glockenwinde, Tigerglocke;Bulley-T.;Codonopsis;WALL.;C. bulleyana;Z;NA;NA
Glockenwinde, Tigerglocke;Waldreben-T.;Codonopsis;WALL.;C. clematidea;Z;NA;NA
Glockenwinde, Tigerglocke;Gewöhnliche Glockenwinde;Codonopsis;WALL.;C. convolvulacea;Z;NA;NA
Glockenwinde, Tigerglocke;Immergrünblütige G.;Codonopsis;WALL.;NA;NA;NA;NA
Glockenwinde, Tigerglocke;Forrest-G.;Codonopsis;WALL.;NA;NA;NA;NA
Glockenwinde, Tigerglocke;Hubei-G.;Codonopsis;WALL.;C. tangshen;Z;NA;NA
Glockenwinde, Tigerglocke;Lanzettblättrige G.;Codonopsis;WALL.;C. lanceolata;Z;NA;NA
Glockenwinde, Tigerglocke;Ussurische G.;Codonopsis;WALL.;NA;NA;NA;NA
Glockenwinde, Tigerglocke;Gescheckte T.;Codonopsis;WALL.;NA;NA;NA;NA
Glockenwinde, Tigerglocke;Rundblättrige T.;Codonopsis;WALL.;C. rotundifolia;Z;NA;NA
Glockenwinde, Tigerglocke;Grünblütige T.;Codonopsis;WALL.;NA;NA;NA;NA
Blauröhre;Delavay-B.;Cyananthus;WALL.;C. delavayi;Z;NA;NA
Blauröhre;Hübsche B.;Cyananthus;WALL.;NA;NA;NA;NA
Blauröhre;Aufgeblasene B.;Cyananthus;WALL.;C. inflatus f.;Z;NA;NA
Blauröhre;Gelappte B.;Cyananthus;WALL.;C. lobatus;Z;NA;NA
Blauröhre;Kleinblättrige B.;Cyananthus;WALL.;C. microphyllus;Z;NA;NA
Blauröhre;Sheriff-B.;Cyananthus;WALL.;C. sheriffii;Z;NA;NA
Blauröhre;Graue B.;Cyananthus;WALL.;NA;NA;NA;NA
Blauröhre;Großkelch-B.;Cyananthus;WALL.;NA;NA;NA;NA
Blauröhre;Langblütige B.;Cyananthus;WALL.;NA;NA;NA;NA
Moorglöckchen;Kap-Moorglöckchen;Wahlenbergia;SCHRAD.;W. capensis;Z;NA;NA
Moorglöckchen;Efeu-M.;Wahlenbergia;SCHRAD.;W. hederacea;Z;NA;W
Büschelglocke, Krugglocke;Zwerg-B.;Edraianthus;(A.;V. supina;Z;NA;W
Büschelglocke, Krugglocke;Zwerg-B.;Edraianthus;(A.;V. supina;Z;NA;NA
Büschelglocke, Krugglocke;Dinarische B.;Edraianthus;(A.;NA;NA;NA;NA
Büschelglocke, Krugglocke;Quendelblättrige B.;Edraianthus;(A.;E. serpyllifolius;Z;NA;NA
Büschelglocke, Krugglocke;Dalmatiner B.;Edraianthus;(A.;E. dalmaticus;Z;NA;NA
Büschelglocke, Krugglocke;Grasartige B.;Edraianthus;(A.;E. graminifolius;Z;NA;NA
Büschelglocke, Krugglocke;Schmalblättrige B.;Edraianthus;(A.;E. tenuifolius;Z;NA;NA
Jasione, Sandknöpfchen;Sandknöpfchen, Berg-Jasione, Schafrapunzel;Jasione;L.;J. montana;Z;NA;W
Jasione, Sandknöpfchen;Ausdauernde J.;Jasione;L.;J. laevis;Z;NA;W
Jasione, Sandknöpfchen;Krause J.;Jasione;L.;J. crispa;Z;NA;NA
Ballonblume, Ballonglocke;Großblütige B.;Platycodon;A. DC.;B. speciosa;Z;NA;NA
Ballonblume, Ballonglocke;Großblütige B.;Platycodon;A. DC.;B. speciosa;Z;NA;NA
Ballonblume, Ballonglocke;Großblütige B.;Platycodon;A. DC.;B. speciosa;Z;NA;W
Ballonblume, Ballonglocke;Großblütige B.;Platycodon;A. DC.;B. speciosa;Z;NA;NA
Teppichlobelie, Pratie;Kantige T.;Pratia;GAUDICH.;P. angulata f.;Z;NA;NA
Teppichlobelie, Pratie;Gestielte T., Blauer Bubikopf;Pratia;GAUDICH.;P. pedunculata;Z;NA;NA
Laurentie;Felsen-Laurentie;Laurentia;ADANS.;L. axillaris;Z;NA;NA
Lobelie;Zarte L.;Lobelia;L.;L. tenuior;Z;NA;NA
Lobelie;Kap-L.;Lobelia;L.;L. valida;Z;NA;NA
Lobelie;Blaue L., Männertreu;Lobelia;L.;L. erinus;Z;NA;NA
Lobelie;Kardinals-L.;Lobelia;L.;L. cardinalis;Z;NA;NA
Lobelie;Leuchtende L.;Lobelia;L.;NA;NA;NA;NA
Lobelie;Glänzende L.;Lobelia;L.;L. splendens cardinalis;Z;NA;NA
Lobelie;Blaue Kardinals-L.;Lobelia;L.;L. siphilitica;Z;NA;NA
Lobelie;Küsten-L.;Lobelia;L.;NA;NA;NA;NA
Lobelie;Aufgeblasene L.;Lobelia;L.;L. inflata;Z;NA;NA
Lobelie;Schöne L.;Lobelia;L.;NA;NA;NA;NA
Lobelie;Gerard-L.;Lobelia;L.;L. × gerardii;Z;NA;NA
Scheinaster, Vernonie;Hohe Sch.;Veronia;SCHERB.;P. elatior;Z;NA;NA
Scheinaster, Vernonie;New York-Sch.;Veronia;SCHERB.;V. noveboracensis;Z;NA;NA
Scheinaster, Vernonie;Arkansas-Sch.;Veronia;SCHERB.;V. arkansana;Z;NA;NA
Scheinaster, Vernonie;Büschlige Sch.;Veronia;SCHERB.;NA;NA;NA;NA
Kornblumenaster, Stokesie;Kornblumenaster;Veronia;SCHERB.;NA;NA;NA;NA
Leberbalsam;Trugdoldiger L.;Ageratum;L.;A. corymbosum;Z;NA;NA
Leberbalsam;Gewöhnlicher L.;Ageratum;L.;A. houstonianum;Z;NA;NA
Leberbalsam;Gewöhnlicher L.;Ageratum;L.;A. houstonianum;N;NA;NA
Leberbalsam;Mexikanischer L.;Ageratum;L.;A. conyzoides;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Gewöhnlicher W., Kunigundenkraut;Eupatorium;L.;E. cannabinum;Z;NA;W
Wasserdost, Wasserhanf, Natternwurz;Gefleckter W.;Eupatorium;L.;E. maculatum;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Purpur-W.;Eupatorium;L.;E. purpuratum f.;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Purpur-W.;Eupatorium;L.;E. purpuratum f.;N;Z;NA
Wasserdost, Wasserhanf, Natternwurz;Blauer W., Himmelblaue Nebelblume;Eupatorium;L.;E. coelestinum;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Weißer W.;Eupatorium;L.;E. album;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Ungestielter W.;Eupatorium;L.;E. sessilifolium;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Hoher W., Weiße Natternwurz;Eupatorium;L.;E. altissimum;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Durchwachsener W.;Eupatorium;L.;E. perfoliatum;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Duftender W.;Eupatorium;L.;E. aromaticum;Z;NA;NA
Wasserdost, Wasserhanf, Natternwurz;Weißer W., Weiße Natternwurz;Eupatorium;L.;E. rugosum;Z;NA;NA
Mikanie;Kletter-Mikanie;Mikania;WILLD;M. scandens;Z;NA;NA
Alpendost;Kahler A.;Adenostyles;CASS.;A. glabra;Z;NA;W
Alpendost;Graue Alpendost;Adenostyles;CASS.;NA;NA;NA;NA
Prachtscharte;Ährige P.;Liatris;GAERTN.;L. spicata;Z;NA;NA
Prachtscharte;Prärie-P., Dickährige P;Liatris;GAERTN.;L. pycnostachya;Z;NA;NA
Prachtscharte;Grasblättrige P.;Liatris;GAERTN.;NA;NA;NA;NA
Prachtscharte;Kansas-P.;Liatris;GAERTN.;NA;NA;NA;NA
Prachtscharte;Zylindrische P.;Liatris;GAERTN.;NA;NA;NA;NA
Prachtscharte;Schöne P.;Liatris;GAERTN.;NA;NA;NA;NA
Gummikraut, Grindelie, Teerkraut;Schmalblättriges G.;Grindelia;WILLD.;G. tenuifolia;Z;NA;NA
Gummikraut, Grindelie, Teerkraut;Schmalblättriges G.;Grindelia;WILLD.;G. tenuifolia;Z;NA;NA
Gummikraut, Grindelie, Teerkraut;Gewöhnliches G.;Grindelia;WILLD.;G. hirsutula;Z;NA;NA
Gummikraut, Grindelie, Teerkraut;Sperriges G.;Grindelia;WILLD.;G. squarrosa;Z;NA;NA
Goldaster, Goldauge;Goldaster, Goldauge;Chrysopsis;(NUTT.);NA;NA;NA;NA
Goldaster, Goldauge;Baumwoll-G.;Chrysopsis;(NUTT.);NA;NA;NA;NA
Goldaster, Goldauge;Drüsige G.;Chrysopsis;(NUTT.);NA;NA;NA;NA
Goldrute;Weiße Hochland-G.;Solidago;L.;S. ptarmicoides;Z;NA;NA
Goldrute;Grasblättrige G.;Solidago;L.;S. graminifolia;Z;NA;W
Goldrute;Goldrutenaster;Solidago;L.;NA;NA;NA;NA
Goldrute;Neu-England-G., Cutler-G.;Solidago;L.;S. leiocarpa;Z;NA;NA
Goldrute;Ridell-G.;Solidago;L.;S. riddellii;Z;NA;NA
Goldrute;Steife G.;Solidago;L.;S. rigida;Z;NA;NA
Goldrute;Gefleckte G.;Solidago;L.;M. guttatus;Z;NA;W
Goldrute;Gefleckte G.;Solidago;L.;M. guttatus;Z;NA;NA
Goldrute;Gewöhnliche G.;Solidago;L.;A. maritima;Z;NA;W
Goldrute;Rocky-Mountain-G.;Solidago;L.;S. multiradiata;Z;NA;NA
Goldrute;Reif-G., Goldbandrute;Solidago;L.;S. caesia;Z;NA;NA
Goldrute;Breitblättrige G., Zickzack-G., Bogige G.;Solidago;L.;S. flexicaulis;Z;NA;NA
Goldrute;Anis-G., Lakritz-G.;Solidago;L.;S. odora;Z;NA;NA
Goldrute;Küsten-G.;Solidago;L.;S. sempervirens;Z;NA;NA
Goldrute;Missouri-G;Solidago;L.;S. missouriensis;Z;NA;NA
Goldrute;Graue G.;Solidago;L.;S. nemoralis;Z;NA;NA
Goldrute;Wald-G.;Solidago;L.;A. dioicus;Z;NA;W
Goldrute;Wald-G.;Solidago;L.;A. dioicus;Z;NA;NA
Goldrute;Ulmenblättrige G.;Solidago;L.;S. ulmifolia;Z;NA;NA
Goldrute;Ozark-G;Solidago;L.;S. drummondii;Z;NA;NA
Goldrute;Ulmenblättrige G.;Solidago;L.;S. ulmifolia;Z;NA;NA
Goldrute;Raue G.;Solidago;L.;S. nemoralis;Z;NA;NA
Goldrute;Kentucky-G., Königs-G;Solidago;L.;S. shortii;Z;NA;NA
Goldrute;Riesen-G.;Solidago;L.;Ch. giganteum;Z;NA;NA
Goldrute;Riesen-G.;Solidago;L.;Ch. giganteum;Z;NA;W
Goldrute;Kanadische G.;Solidago;L.;S. canadensis;Z;NA;W
Brachyskome, Blaues Gänseblümchen;Tadgell-B.;Brachyscome;CASS.;B. tadgellii;Z;NA;NA
Brachyskome, Blaues Gänseblümchen;Blaue B., Blaues Gänseblümchen;Brachyscome;CASS.;B. iberidifolia;Z;NA;NA
Brachyskome, Blaues Gänseblümchen;Vielfiedrige B.;Brachyscome;CASS.;NA;NA;NA;NA
Brachyskome, Blaues Gänseblümchen;Raue B.;Brachyscome;CASS.;C. incanus f.;Z;NA;NA
Brachyskome, Blaues Gänseblümchen;Verschiedenblättrige B.;Brachyscome;CASS.;NA;NA;NA;NA
Brachyskome, Blaues Gänseblümchen;Stachlige B.;Brachyscome;CASS.;B. aculeata;Z;NA;NA
Brachyskome, Blaues Gänseblümchen;Schmalblättrige B.;Brachyscome;CASS.;E. tenuifolius;Z;NA;NA
Brachyskome, Blaues Gänseblümchen;Schwarzfrüchtige B.;Brachyscome;CASS.;B. melanocarpa;Z;NA;NA
Gänseblümchen, Maßliebchen, Tausendschönchen;Tausendschönchen;Bellis;L.;NA;NA;NA;NA
Gänseblümchen, Maßliebchen, Tausendschönchen;Gewöhnliches G., Maßliebchen, Tausendschönchen;Bellis;L.;NA;NA;NA;NA
Gänseblümchen, Maßliebchen, Tausendschönchen;Bläuliches G.;Bellis;L.;B. coerulescens;Z;NA;NA
Scheingänseblümchen, Zwergmaßliebchen;Gewöhnliches Sch.;Bellium;L.;B. bellidioides;Z;NA;NA
Scheingänseblümchen, Zwergmaßliebchen;Gewöhnliches Sch.;Bellium;L.;B. bellidioides;Z;NA;W
Scheingänseblümchen, Zwergmaßliebchen;Gewöhnliches Sch.;Bellium;L.;B. bellidioides;Z;N;NA
Scheingänseblümchen, Zwergmaßliebchen;Dickblättriges Sch.;Bellium;L.;B. crassifolium;Z;NA;NA
Scheingänseblümchen, Zwergmaßliebchen;Kleines Sch., Zwergmaßliebchen;Bellium;L.;B. minutum;Z;NA;NA
Scheingänseblümchen, Zwergmaßliebchen;Scheinaster, Boltonie;Bellium;L.;NA;NA;NA;NA
Scheingänseblümchen, Zwergmaßliebchen;Gewöhnliche Sch.;Bellium;L.;B. asteroides;Z;NA;NA
Scheingänseblümchen, Zwergmaßliebchen;Gewöhnliche Sch.;Bellium;L.;B. asteroides;N;Z;NA
Scheingänseblümchen, Zwergmaßliebchen;Gewöhnliche Sch.;Bellium;L.;B. asteroides;N;NA;W
Scheingänseblümchen, Zwergmaßliebchen;Gewöhnliche Sch.;Bellium;L.;B. asteroides;Z;NA;W
Townsendie, Felsenmargerite;Schöne T.;Townsendia;HOOK.;T. formosa;Z;NA;NA
Townsendie, Felsenmargerite;Grauweiße T.;Townsendia;HOOK.;T. incana;Z;NA;NA
Townsendie, Felsenmargerite;Niedrige T., Stängellose T.;Townsendia;HOOK.;T. exscapa;Z;NA;NA
Townsendie, Felsenmargerite;Hooker-T.;Townsendia;HOOK.;NA;NA;NA;NA
Townsendie, Felsenmargerite;Rothrock-T.;Townsendia;HOOK.;T. rothrockii;Z;NA;NA
Townsendie, Felsenmargerite;Parry-T.;Townsendia;HOOK.;T. parryi;Z;NA;NA
Townsendie, Felsenmargerite;Oregon-T.;Townsendia;HOOK.;T. florifer;Z;NA;NA
Townsendie, Felsenmargerite;Großblütige T.;Townsendia;HOOK.;T. grandiflora;Z;NA;NA
Townsendie, Felsenmargerite;Großblütige T.;Townsendia;HOOK.;T. grandiflora;Z;NA;NA
Sommeraster, Gartenaster;Sommeraster;Callistephus;CASS.;NA;NA;NA;NA
Aster, Staudenaster;Goldhaar-A.;Aster;L.;A. linosyris;Z;NA;W
Aster, Staudenaster;Alpenmaßliebchen;Aster;L.;NA;NA;NA;NA
Aster, Staudenaster;Alpen-A.;Aster;L.;A. alpina;Z;NA;NA
Aster, Staudenaster;Alpen-A.;Aster;L.;A. alpina;Z;NA;W
Aster, Staudenaster;Sichuan-A.;Aster;L.;A. tongolensis;Z;NA;NA
Aster, Staudenaster;Großblättrige A.;Aster;L.;A. macrophyllus;Z;NA;NA
Aster, Staudenaster;Schreber-A.;Aster;L.;NA;NA;NA;NA
Aster, Staudenaster;Blaue Wald-A.;Aster;L.;A. cordifolius;Z;NA;NA
Aster, Staudenaster;Weiße Wald-A.;Aster;L.;A. divaricatus;Z;NA;NA
Aster, Staudenaster;Graublättrige A.;Aster;L.;A. sedifolius;Z;NA;NA
Aster, Staudenaster;Graue A.;Aster;L.;A. incana;Z;NA;NA
Aster, Staudenaster;Raublatt-A., Neuengland-A.;Aster;L.;A. novae-angliae;Z;NA;W
Aster, Staudenaster;Berg-A., Kalk-A.;Aster;L.;A. amellus;Z;NA;NA
Aster, Staudenaster;Pyrenäen-A.;Aster;L.;A. pyrenaica;Z;NA;NA
Aster, Staudenaster;Pyrenäen-A.;Aster;L.;A. pyrenaica;Z;NA;NA
Aster, Staudenaster;Tatarische A.;Aster;L.;A. tataricus;Z;NA;NA
Aster, Staudenaster;Arktische A.;Aster;L.;A. sibiricus;Z;NA;NA
Aster, Staudenaster;Dolden-A.;Aster;L.;NA;NA;NA;NA
