vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Garten-H.;– H. macrophylla (THUNB. ex MURRAY) SER.;Garten-H.;H. macrophylla (THUNB. ex MURRAY) SER.;H. macrophylla (THUNB. ex MURRAY) SER.;H. macrophylla (THUNB. ex MURRAY) SER.;H. macrophylla (THUNB. ex MURRAY) SER.;H. macrophylla
Kriechtrieb-F.;– S. sarmentosum BUNGE4* Bl wechsel- od.;Kriechtrieb-F.;S. sarmentosum BUNGE4* Bl wechsel- od.;S. sarmentosum BUNGE4* Bl wechsel- od.;S. sarmentosum BUNGE;S. sarmentosum BUNGE;S. sarmentosum
Sibirische F;. – S. hybridum L.5* Pfl im Winter ohne ;Sibirische F.;S. hybridum L.5* Pfl im Winter ohne ;S. hybridum L.5* Pfl im Winter ohne ;S. hybridum L.;S. hybridum L.;S. hybridum
Kamtschatka-F.;– S. kamtschaticum FISCH. et C. A. MEY.6;Kamtschatka-F.;S. kamtschaticum FISCH. et C. A. MEY.6;S. kamtschaticum FISCH. et C. A. MEY.6;S. kamtschaticum FISCH. et C. A. MEY.;S. kamtschaticum FISCH. et C. A. MEY.;S. kamtschaticum
Amur-F.;– S. selskianum REGEL et MAACK;Amur-F.;S. selskianum REGEL et MAACK;S. selskianum REGEL et MAACK;S. selskianum REGEL et MAACK;S. selskianum REGEL et MAACK;S. selskianum
Große F.;– S. maximum (L.) HOFFM.7* Bl eilanzettl;Große F.;S. maximum (L.) HOFFM.7* Bl eilanzettl;S. maximum (L.) HOFFM.7* Bl eilanzettl;S. maximum (L.) HOFFM.;S. maximum (L.) HOFFM.;S. maximum
Deckblatt-F.;– S. aizoon L.;Deckblatt-F.;S. aizoon L.;S. aizoon L.;S. aizoon L.;S. aizoon L.;S. aizoon
Zwergstrauch-F.;– S. populifolium PALL.8* Zweijährige Pf;Zwergstrauch-F.;S. populifolium PALL.8* Zweijährige Pf;S. populifolium PALL.8* Zweijährige Pf;S. populifolium PALL.;S. populifolium PALL.;S. populifolium
Behaarte F.;– S. pilosum M. BIEB.9* Bl an gestreckte;Behaarte F.;S. pilosum M. BIEB.9* Bl an gestreckte;S. pilosum M. BIEB.9* Bl an gestreckte;S. pilosum M. BIEB.;S. pilosum M. BIEB.;S. pilosum
Rundblättrige F.;– S. anacampseros L.11* Bl in 3zähligen ;Rundblättrige F.;S. anacampseros L.11* Bl in 3zähligen ;S. anacampseros L.11* Bl in 3zähligen ;S. anacampseros L.;S. anacampseros L.;S. anacampseros
Siebold-F.;– S. sieboldii SWEET;Siebold-F.;S. sieboldii SWEET;S. sieboldii SWEET;S. sieboldii SWEET;S. sieboldii SWEET;S. sieboldii
Japanische F.;– S. cauticola PRAEGER;Japanische F.;S. cauticola PRAEGER;S. cauticola PRAEGER;S. cauticola PRAEGER;S. cauticola PRAEGER;S. cauticola
Purpur-F.;– S. telephium L.;Purpur-F.;S. telephium L.;S. telephium L.;S. telephium L.;S. telephium L.;S. telephium
Prächtige F.;– S. spectabile BOREAU15 (1) Pfl nur mit;Prächtige F.;S. spectabile BOREAU15 (1) Pfl nur mit;S. spectabile BOREAU15 (1) Pfl nur mit;S. spectabile BOREAU;S. spectabile BOREAU;S. spectabile
Spanische F.;– S. hispanicum L.;Spanische F.;S. hispanicum L.;S. hispanicum L.;S. hispanicum L.;S. hispanicum L.;S. hispanicum
Buckel-F.;– S. dasyphyllum L. ;Buckel-F.;S. dasyphyllum L. ;S. dasyphyllum L. ;S. dasyphyllum L. ;S. dasyphyllum L. ;S. dasyphyllum
Weiße F.;– S. album L.;Weiße F.;S. album L.;S. album L.;S. album L.;S. album L.;S. album
Zierliche F.;– S. forsterianum SM.;Zierliche F.;S. forsterianum SM.;S. forsterianum SM.;S. forsterianum SM.;S. forsterianum SM.;S. forsterianum
Ockergelbe F.;– S. ochroleucum CHAIX21* KBl 2–4,5 mm l;Ockergelbe F.;S. ochroleucum CHAIX21* KBl 2–4,5 mm l;S. ochroleucum CHAIX21* KBl 24,5 mm l;S. ochroleucum CHAIX;S. ochroleucum CHAIX;S. ochroleucum
Nizza-F.;– S. sediforme (JACQ.) PAU;Nizza-F.;S. sediforme (JACQ.) PAU;S. sediforme (JACQ.) PAU;S. sediforme (JACQ.) PAU;S. sediforme (JACQ.) PAU;S. sediforme
Felsen-F., Tripmadam;– S. rupestre L.;Felsen-F., Tripmadam;S. rupestre L.;S. rupestre L.;S. rupestre L.;S. rupestre L.;S. rupestre
