vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Siebenbürgisches L.;– P. dacica SIMONK.6 (2) SommerBl (Grund;Siebenbürgisches L.;P. dacica SIMONK.6 (2) SommerBl (Grund;P. dacica SIMONK.6 (2) SommerBl (Grund;P. dacica SIMONK.;P. dacica SIMONK.;P. dacica
Italienisches L.;– P. vallarsae A. KERN.6* SommerBl (Grun;Italienisches L.;P. vallarsae A. KERN.6* SommerBl (Grun;P. vallarsae A. KERN.6* SommerBl (Grun;P. vallarsae A. KERN.;P. vallarsae A. KERN.;P. vallarsae
Langblättriges L.;– P. longifolia, s. 7: BStände zur B- u.;Langblättriges L.;P. longifolia, s. 7: BStände zur B- u.;P. longifolia, s. 7: BStände zur B- u.;P. longifolia, s. ;P. longifolia, s. ;P. longifolia
Zucker-L.;– P. saccharata MILL.;Zucker-L.;P. saccharata MILL.;P. saccharata MILL.;P. saccharata MILL.;P. saccharata MILL.;P. saccharata
Kaukasischer B.;– S. caucasicum M. BIEB.;Kaukasischer B.;S. caucasicum M. BIEB.;S. caucasicum M. BIEB.;S. caucasicum M. BIEB.;S. caucasicum M. BIEB.;S. caucasicum
Rauer B., Comfrey;– S. asperum LEPECH.5* Obere Bl kurz her;Rauer B., Comfrey;S. asperum LEPECH.5* Obere Bl kurz her;S. asperum LEPECH.5* Obere Bl kurz her;S. asperum LEPECH.;S. asperum LEPECH.;S. asperum
Futter-B., Comfrey;– S. × uplandicum NYMAN6 (3) BlSpreite n;Futter-B., Comfrey;S. × uplandicum NYMAN6 (3) BlSpreite n;S. × uplandicum NYMAN6 (3) BlSpreite n;S. × uplandicum NYMAN;S. × uplandicum NYMAN;S. × uplandicum
Herzblättriger B.;– S. cordatum WALDST. et KIT.6* BlSpreit;Herzblättriger B.;S. cordatum WALDST. et KIT.6* BlSpreit;S. cordatum WALDST. et KIT.6* BlSpreit;S. cordatum WALDST. et KIT.;S. cordatum WALDST. et KIT.;S. cordatum
Knoten-B.;– S. tuberosum L.;Knoten-B.;S. tuberosum L.;S. tuberosum L.;S. tuberosum L.;S. tuberosum L.;S. tuberosum
Kriechender B.;– S. ibericum STEVENÄhnlich: Großblütige;Kriechender B.;S. ibericum STEVENÄhnlich: Großblütige;S. ibericum STEVENÄhnlich: Großblütige;S. ibericum STEVEN;S. ibericum STEVEN;S. ibericum
Einjähriger B., Gurkenkraut;– B. officinalis L.;Einjähriger B., Gurkenkraut;B. officinalis L.;B. officinalis L.;B. officinalis L.;B. officinalis L.;B. officinalis
Ausdauernder B.;– B. pygmaea (DC.) CHATER et GREUTER;Ausdauernder B.;B. pygmaea (DC.) CHATER et GREUTER;B. pygmaea (DC.) CHATER et GREUTER;B. pygmaea (DC.) CHATER et GREUTER;B. pygmaea (DC.) CHATER et GREUTER;B. pygmaea
Italienische O.;– A. azurea MILL.;Italienische O.;A. azurea MILL.;A. azurea MILL.;A. azurea MILL.;A. azurea MILL.;A. azurea
Kap-O., Kapvergissmeinnicht;– A. capensis THUNB.;Kap-O., Kapvergissmeinnicht;A. capensis THUNB.;A. capensis THUNB.;A. capensis THUNB.;A. capensis THUNB.;A. capensis
Barrelier-O.;– C. barrelieri (ALL.) VURAL et KIT TAN;Barrelier-O.;C. barrelieri (ALL.) VURAL et KIT TAN;C. barrelieri (ALL.) VURAL et KIT TAN;C. barrelieri (ALL.) VURAL et KIT TAN;C. barrelieri (ALL.) VURAL et KIT TAN;C. barrelieri
Großblättriges K.;– B. macrophylla (ADAMS) I. M. JOHNST.;Großblättriges K.;B. macrophylla (ADAMS) I. M. JOHNST.;B. macrophylla (ADAMS) I. M. JOHNST.;B. macrophylla (ADAMS) I. M. JOHNST.;B. macrophylla (ADAMS) I. M. JOHNST.;B. macrophylla
Virginisches B.;– M. virginica (L.) PERS.;Virginisches B.;M. virginica (L.) PERS.;M. virginica (L.) PERS.;M. virginica (L.) PERS.;M. virginica (L.) PERS.;M. virginica
Rispiges B.;– M. paniculata (AITON) G. DON;Rispiges B.;M. paniculata (AITON) G. DON;M. paniculata (AITON) G. DON;M. paniculata (AITON) G. DON;M. paniculata (AITON) G. DON;M. paniculata
Behaartes B.;– H. hirsuta L.: durch starke Behaarung ;Behaartes B.;H. hirsuta L.: durch starke Behaarung ;H. hirsuta L.: durch starke Behaarung ;H. hirsuta L.;H. hirsuta L.;H. hirsuta
Primelähnliches B.;– M. primuloides (DECNE.) C. B. CLARKE4*;Primelähnliches B.;M. primuloides (DECNE.) C. B. CLARKE4*;M. primuloides (DECNE.) C. B. CLARKE4*;M. primuloides (DECNE.) C. B. CLARKE;M. primuloides (DECNE.) C. B. CLARKE;M. primuloides
Alpines B.;– M. alpina (TORR.) G. DON;Alpines B.;M. alpina (TORR.) G. DON;M. alpina (TORR.) G. DON;M. alpina (TORR.) G. DON;M. alpina (TORR.) G. DON;M. alpina
Neuseeländisches V.;– M. colensoi (T. KIRK) J. F. MACBR.;Neuseeländisches V.;M. colensoi (T. KIRK) J. F. MACBR.;M. colensoi (T. KIRK) J. F. MACBR.;M. colensoi (T. KIRK) J. F. MACBR.;M. colensoi (T. KIRK) J. F. MACBR.;M. colensoi
Bodensee-V.;– M. rehsteineri WARTM.3* Pfl meist > 15;Bodensee-V.;M. rehsteineri WARTM.3* Pfl meist > 15;M. rehsteineri WARTM.3* Pfl meist > 15;M. rehsteineri WARTM.;M. rehsteineri WARTM.;M. rehsteineri
Alpen-V.;– V. alpina L.;Alpen-V.;V. alpina L.;V. alpina L.;V. alpina L.;V. alpina L.;V. alpina
Garten-V.;bezeichnet). [M. alpestris hort.];Garten-V.;bezeichnet). [M. alpestris hort.];bezeichnet). [M. alpestris hort.];bezeichnet). [M. alpestris hort.];M. alpestris hort.];M. alpestris
Leinblättriges G.;– O. linifolia (L.) MOENCHÄhnlich: Kuzin;Leinblättriges G.;O. linifolia (L.) MOENCHÄhnlich: Kuzin;O. linifolia (L.) MOENCHÄhnlich: Kuzin;O. linifolia (L.) MOENCH;O. linifolia (L.) MOENCH;O. linifolia
Glänzendes G.;– O. nitida HOFFMANNS. et LINK;Glänzendes G.;O. nitida HOFFMANNS. et LINK;O. nitida HOFFMANNS. et LINK;O. nitida HOFFMANNS. et LINK;O. nitida HOFFMANNS. et LINK;O. nitida
Fels-G.;– O. luciliae BOISS.3* B nicht in der Ac;Fels-G.;O. luciliae BOISS.3* B nicht in der Ac;O. luciliae BOISS.3* B nicht in der Ac;O. luciliae BOISS.;O. luciliae BOISS.;O. luciliae
Kleinasiatisches G.;– O. cappadocica (WILLD.) DC.4* Kriechen;Kleinasiatisches G.;O. cappadocica (WILLD.) DC.4* Kriechen;O. cappadocica (WILLD.) DC.4* Kriechen;O. cappadocica (WILLD.) DC.;O. cappadocica (WILLD.) DC.;O. cappadocica
Frühlings-G.;– O. verna MOENCH;Frühlings-G.;O. verna MOENCH;O. verna MOENCH;O. verna MOENCH;O. verna MOENCH;O. verna
Chinesische H., Chinesisches Vergissmeinnicht;–C. amabile STAPF et J. R. DRUMM.;Chinesische H., Chinesisches Vergissmeinnicht;C. amabile STAPF et J. R. DRUMM.;C. amabile STAPF et J. R. DRUMM.;C. amabile STAPF et J. R. DRUMM.;C. amabile STAPF et J. R. DRUMM.;C. amabile
Langblättrige L.;– L. longiflora (BENTH.) BAILL.;Langblättrige L.;L. longiflora (BENTH.) BAILL.;L. longiflora (BENTH.) BAILL.;L. longiflora (BENTH.) BAILL.;L. longiflora (BENTH.) BAILL.;L. longiflora
Filziger T.;– N. tomentosa RUIZ et PAV.;Filziger T.;N. tomentosa RUIZ et PAV.;N. tomentosa RUIZ et PAV.;N. tomentosa RUIZ et PAV.;N. tomentosa RUIZ et PAV.;N. tomentosa
Langblütiger T.;– N. longiflora CAV.;Langblütiger T.;N. longiflora CAV.;N. longiflora CAV.;N. longiflora CAV.;N. longiflora CAV.;N. longiflora
Bauern-T.;– N. rustica L.;Bauern-T.;N. rustica L.;N. rustica L.;N. rustica L.;N. rustica L.;N. rustica
Forget-T.;– N. forgetiana HEMSL.5* KrSaum mit verk;Forget-T.;N. forgetiana HEMSL.5* KrSaum mit verk;N. forgetiana HEMSL.5* KrSaum mit verk;N. forgetiana HEMSL.;N. forgetiana HEMSL.;N. forgetiana
Duftender T.;– N. suaveolens LEHM.6 (3) B waagerecht ;Duftender T.;N. suaveolens LEHM.6 (3) B waagerecht ;N. suaveolens LEHM.6 (3) B waagerecht ;N. suaveolens LEHM.;N. suaveolens LEHM.;N. suaveolens
Wilder T.;– N. sylvestris SPEG. et COMES;Wilder T.;N. sylvestris SPEG. et COMES;N. sylvestris SPEG. et COMES;N. sylvestris SPEG. et COMES;N. sylvestris SPEG. et COMES;N. sylvestris
Virginischer T.;– N. tabacum L.Sehr variable Art. In D. ;Virginischer T.;N. tabacum L.Sehr variable Art. In D. ;N. tabacum L.Sehr variable Art. In D. ;N. tabacum L.Sehr variable Art. In D. ;N. tabacum L.Sehr variable Art. In D. ;N. tabacum
Geflügelter T.;– N. alata LINK et OTTO8* Wie vorige, ab;Geflügelter T.;N. alata LINK et OTTO8* Wie vorige, ab;N. alata LINK et OTTO8* Wie vorige, ab;N. alata LINK et OTTO;N. alata LINK et OTTO;N. alata
Sander-T.;– N. × sanderae hort. ex W. WATSON;Sander-T.;N. × sanderae hort. ex W. WATSON;N. × sanderae hort. ex W. WATSON;N. × sanderae hort. ex W. WATSON;N. × sanderae hort. ex W. WATSON;N. sanderae
Violette P.;– P. integrifolia (HOOK.) SCHINZ et THEL;Violette P.;P. integrifolia (HOOK.) SCHINZ et THEL;P. integrifolia (HOOK.) SCHINZ et THEL;P. integrifolia (HOOK.) SCHINZ et THEL;P. integrifolia (HOOK.) SCHINZ et THEL;P. integrifolia
Kleinblütige B., Amethyst-B.;– B. americana L.;Kleinblütige B., Amethyst-B.;B. americana L.;B. americana L.;B. americana L.;B. americana L.;B. americana
Großblütige B.;– B. speciosa Hook.;Großblütige B.;B. speciosa Hook.;B. speciosa Hook.;B. speciosa Hook.;B. speciosa Hook.;B. speciosa
Schmalblättrige N.;– N. linariifolia GRAHAM2* B 2,5–3 cm ∅,;Schmalblättrige N.;N. linariifolia GRAHAM2* B 2,5–3 cm ∅,;N. linariifolia GRAHAM2* B 2,53 cm ∅,;N. linariifolia GRAHAM;N. linariifolia GRAHAM;N. linariifolia
Strauch-N.;– N. scoparia SENDTN.Giftbeere – Nicandr;Strauch-N.;N. scoparia SENDTN.Giftbeere – Nicandr;N. scoparia SENDTN.Giftbeere – Nicandr;N. scoparia SENDTN.Giftbeere – Nicandr;N. scoparia SENDTN.Giftbeere – Nicandr;N. scoparia
Gewöhnlicher St.;– D. stramonium L.;Gewöhnlicher St.;D. stramonium L.;D. stramonium L.;D. stramonium L.;D. stramonium L.;D. stramonium
Indischer St., Flaumiger St.;– D. metel L.;Indischer St., Flaumiger St.;D. metel L.;D. metel L.;D. metel L.;D. metel L.;D. metel
Wright-St.;– D. wrightii hort. ex REGEL3* Zwischenz;Wright-St.;D. wrightii hort. ex REGEL3* Zwischenz;D. wrightii hort. ex REGEL3* Zwischenz;D. wrightii hort. ex REGEL;D. wrightii hort. ex REGEL;D. wrightii
Feinstachliger St.;– D. inoxia MILL.In diese Gattung einbez;Feinstachliger St.;D. inoxia MILL.In diese Gattung einbez;D. inoxia MILL.In diese Gattung einbez;D. inoxia MILL.In diese Gattung einbez;D. inoxia MILL.In diese Gattung einbez;D. inoxia
Gewöhnliche B., Laternenpflanze, Judenkirsche;– Ph. alkekengi L.1* Kr gelb mit dunklen;Gewöhnliche B., Laternenpflanze, Judenkirsche;Ph. alkekengi L.1* Kr gelb mit dunklen;Ph. alkekengi L.1* Kr gelb mit dunklen;Ph. alkekengi L.;Ph. alkekengi L.;Ph. alkekengi
"Peruanische B., Kapstachelbeere; Andenkirsche";– Ph. peruviana L.;"Peruanische B., Kapstachelbeere; Andenkirsche";Ph. peruviana L.;Ph. peruviana L.;Ph. peruviana L.;Ph. peruviana L.;Ph. peruviana
Paprika, Chili, Peperoni;– C. annuum L.Sehr formenreich: Gemüse-P;Paprika, Chili, Peperoni;C. annuum L.Sehr formenreich: Gemüse-P;C. annuum L.Sehr formenreich: Gemüse-P;C. annuum L.Sehr formenreich;C. annuum L.Sehr formenreich;C. annuum
Jasmin-N;. – S. laxum SPRENG.3 (1) Pfl stachellos;Jasmin-N.;S. laxum SPRENG.3 (1) Pfl stachellos;S. laxum SPRENG.3 (1) Pfl stachellos;S. laxum SPRENG.;S. laxum SPRENG.;S. laxum
Korallenstrauch, Jerusalemkirsche;– S. pseudocapsicum L.6 (4) Bl unterbroc;Korallenstrauch, Jerusalemkirsche;S. pseudocapsicum L.6 (4) Bl unterbroc;S. pseudocapsicum L.6 (4) Bl unterbroc;S. pseudocapsicum L.;S. pseudocapsicum L.;S. pseudocapsicum
Eierfrucht, Aubergine;– S. melongena L.7* Bl ohne Sternhaare, ;Eierfrucht, Aubergine;S. melongena L.7* Bl ohne Sternhaare, ;S. melongena L.7* Bl ohne Sternhaare, ;S. melongena L.;S. melongena L.;S. melongena
Pepino, Melonenbirne, Balkon-Honigmelone;– S. muricatum AIT.;Pepino, Melonenbirne, Balkon-Honigmelone;S. muricatum AIT.;S. muricatum AIT.;S. muricatum AIT.;S. muricatum AIT.;S. muricatum
Vogel-N., Känguruapfel;– S. aviculare G. FORST.;Vogel-N., Känguruapfel;S. aviculare G. FORST.;S. aviculare G. FORST.;S. aviculare G. FORST.;S. aviculare G. FORST.;S. aviculare
Raukenblättriger N., Klebriger N.;– S. sisymbriifolium LAM.;Raukenblättriger N., Klebriger N.;S. sisymbriifolium LAM.;S. sisymbriifolium LAM.;S. sisymbriifolium LAM.;S. sisymbriifolium LAM.;S. sisymbriifolium
Schmalblättriger N.;– S. angustifolium MILL.11* Kr blau bis ;Schmalblättriger N.;S. angustifolium MILL.11* Kr blau bis ;S. angustifolium MILL.11* Kr blau bis ;S. angustifolium MILL.;S. angustifolium MILL.;S. angustifolium
Wassermelonenblättriger N.;– S. citrullifolium A. BRAUN;Wassermelonenblättriger N.;S. citrullifolium A. BRAUN;S. citrullifolium A. BRAUN;S. citrullifolium A. BRAUN;S. citrullifolium A. BRAUN;S. citrullifolium
Riesen-N.;– S. giganteum JACQ.;Riesen-N.;S. giganteum JACQ.;S. giganteum JACQ.;S. giganteum JACQ.;S. giganteum JACQ.;S. giganteum
Robuster N.;– S. robustum H. WENDL.;Robuster N.;S. robustum H. WENDL.;S. robustum H. WENDL.;S. robustum H. WENDL.;S. robustum H. WENDL.;S. robustum
Dunkelvioletter N.;– S. atropurpureum SCHRANK14* Beere grün;Dunkelvioletter N.;S. atropurpureum SCHRANK14* Beere grün;S. atropurpureum SCHRANK14* Beere grün;S. atropurpureum SCHRANK;S. atropurpureum SCHRANK;S. atropurpureum
Feuerdorn-N.;– S. pyracanthos LAM.;Feuerdorn-N.;S. pyracanthos LAM.;S. pyracanthos LAM.;S. pyracanthos LAM.;S. pyracanthos LAM.;S. pyracanthos
Äthiopischer N., Weißrandiger N.;– S. marginatum L. f.;Äthiopischer N., Weißrandiger N.;S. marginatum L. f.;S. marginatum L. f.;S. marginatum L. f.;S. marginatum L. f.;S. marginatum f.
Enzianstrauch, Blauer Kartoffelstrauch;– L. rantonnei (CARRIÉRE) BITTER;Enzianstrauch, Blauer Kartoffelstrauch;L. rantonnei (CARRIÉRE) BITTER;L. rantonnei (CARRIÉRE) BITTER;L. rantonnei (CARRIÉRE) BITTER;L. rantonnei (CARRIÉRE) BITTER;L. rantonnei
Johannisbeer-Tomate;– L. pimpinellifolium (JUSL.) MILL.1* Be;Johannisbeer-Tomate;L. pimpinellifolium (JUSL.) MILL.1* Be;L. pimpinellifolium (JUSL.) MILL.1* Be;L. pimpinellifolium (JUSL.) MILL.;L. pimpinellifolium (JUSL.) MILL.;L. pimpinellifolium
Weißes B.;– H. albus L.;Weißes B.;H. albus L.;H. albus L.;H. albus L.;H. albus L.;H. albus
Krainer T.;– S. carniolica JACQ.;Krainer T.;S. carniolica JACQ.;S. carniolica JACQ.;S. carniolica JACQ.;S. carniolica JACQ.;S. carniolica
Fahlgelbes T.;– S. anomala (LINK et OTTO) AIRY SHAW;Fahlgelbes T.;S. anomala (LINK et OTTO) AIRY SHAW;S. anomala (LINK et OTTO) AIRY SHAW;S. anomala (LINK et OTTO) AIRY SHAW;S. anomala (LINK et OTTO) AIRY SHAW;S. anomala
Abgestumpfte S.;– Sch. grahamii HOOK.1* KrRöhre kürzer a;Abgestumpfte S.;Sch. grahamii HOOK.1* KrRöhre kürzer a;Sch. grahamii HOOK.1* KrRöhre kürzer a;Sch. grahamii HOOK.;Sch. grahamii HOOK.;Sch. grahamii
Gefiederte S.;– Sch. pinnatus RUIZ et PAV.;Gefiederte S.;Sch. pinnatus RUIZ et PAV.;Sch. pinnatus RUIZ et PAV.;Sch. pinnatus RUIZ et PAV.;Sch. pinnatus RUIZ et PAV.;Sch. pinnatus
Niederliegende G.;– N. humifusa (GOUAN) I. M. JOHNST.;Niederliegende G.;N. humifusa (GOUAN) I. M. JOHNST.;N. humifusa (GOUAN) I. M. JOHNST.;N. humifusa (GOUAN) I. M. JOHNST.;N. humifusa (GOUAN) I. M. JOHNST.;N. humifusa
Großblütige G.;– N. paradoxa LINDL. ;Großblütige G.;N. paradoxa LINDL. ;N. paradoxa LINDL. ;N. paradoxa LINDL. ;N. paradoxa LINDL. ;N. paradoxa
Purpur-K.;– V. phoeniceum L.;Purpur-K.;V. phoeniceum L.;V. phoeniceum L.;V. phoeniceum L.;V. phoeniceum L.;V. phoeniceum
Schwarze K.;– V. nigrum L.Ähnlich: Französische K. –;Schwarze K.;V. nigrum L.Ähnlich: Französische K. –;V. nigrum L.Ähnlich: Französische K. –;V. nigrum L.;V. nigrum L.;V. nigrum
Kandelaber-K.;– V. olympicum BOISS.Ähnlich: Riesen-K. ;Kandelaber-K.;V. olympicum BOISS.Ähnlich: Riesen-K. ;V. olympicum BOISS.Ähnlich: Riesen-K. ;V. olympicum BOISS.;V. olympicum BOISS.;V. olympicum
Großblütige K.;– V. densiflorum BERTOL.4* Mittlere u. o;Großblütige K.;V. densiflorum BERTOL.4* Mittlere u. o;V. densiflorum BERTOL.4* Mittlere u. o;V. densiflorum BERTOL.;V. densiflorum BERTOL.;V. densiflorum
Windblumen-K.;– V. phlomoides L.;Windblumen-K.;V. phlomoides L.;V. phlomoides L.;V. phlomoides L.;V. phlomoides L.;V. phlomoides
Einjähriger E.;– D. barberae HOOK. f.Ähnlich: Zierliche;Einjähriger E.;D. barberae HOOK. f.Ähnlich: Zierliche;D. barberae HOOK. f.Ähnlich: Zierliche;D. barberae HOOK. f.;D. barberae HOOK. f.;D. barberae f.
Horntragende A.;– A. cornigera HOOK.Pantoffelblume – Cal;Horntragende A.;A. cornigera HOOK.Pantoffelblume – Cal;A. cornigera HOOK.Pantoffelblume – Cal;A. cornigera HOOK.Pantoffelblume – Cal;A. cornigera HOOK.Pantoffelblume – Cal;A. cornigera
Dreiteilige P.;– C. tripartita RUIZ et PAV.Ähnlich: Fie;Dreiteilige P.;C. tripartita RUIZ et PAV.Ähnlich: Fie;C. tripartita RUIZ et PAV.Ähnlich: Fie;C. tripartita RUIZ et PAV.;C. tripartita RUIZ et PAV.;C. tripartita
Runzlige P.;– C. integrifolia MURRAY;Runzlige P.;C. integrifolia MURRAY;C. integrifolia MURRAY;C. integrifolia MURRAY;C. integrifolia MURRAY;C. integrifolia
Zweiblütige P.;– C. biflora LAM.;Zweiblütige P.;C. biflora LAM.;C. biflora LAM.;C. biflora LAM.;C. biflora LAM.;C. biflora
Vielwurzlige P.;– C. polyrrhiza CAV.Ähnlich: Gekerbte P.;Vielwurzlige P.;C. polyrrhiza CAV.Ähnlich: Gekerbte P.;C. polyrrhiza CAV.Ähnlich: Gekerbte P.;C. polyrrhiza CAV.;C. polyrrhiza CAV.;C. polyrrhiza
Mauer-Z.;– C. muralis P. GAERTN., B. MEY. et SCHE;Mauer-Z.;C. muralis P. GAERTN., B. MEY. et SCHE;C. muralis P. GAERTN., B. MEY. et SCHE;C. muralis P. GAERTN., B. MEY. et SCHE;C. muralis P. GAERTN., B. MEY. et SCHE;C. muralis
Blasses Z.;– C. pallida (TEN.) WETTST.Ähnlich: Weic;Blasses Z.;C. pallida (TEN.) WETTST.Ähnlich: Weic;C. pallida (TEN.) WETTST.Ähnlich: Weic;C. pallida (TEN.) WETTST.;C. pallida (TEN.) WETTST.;C. pallida
Ginsterblättriges L.;– L. genistifolia (L.) MILL.2* Bl lineal;Ginsterblättriges L.;L. genistifolia (L.) MILL.2* Bl lineal;L. genistifolia (L.) MILL.2* Bl lineal;L. genistifolia (L.) MILL.;L. genistifolia (L.) MILL.;L. genistifolia
Gewöhnliches L., Frauenflachs;– L. vulgaris MILL.;Gewöhnliches L., Frauenflachs;L. vulgaris MILL.;L. vulgaris MILL.;L. vulgaris MILL.;L. vulgaris MILL.;L. vulgaris
Alpen-L.;, Alpen-Strahlensame – S. alpestris JACQ;Alpen-L., Alpen-Strahlensame;S. alpestris JACQ;S. alpestris JACQ;S. alpestris JACQ;S. alpestris JACQ;S. alpestris
Purpur-L.;– L. purpurea (L.) MILL.Ähnlich: Vogel-L;Purpur-L.;L. purpurea (L.) MILL.Ähnlich: Vogel-L;L. purpurea (L.) MILL.Ähnlich: Vogel-L;L. purpurea (L.) MILL.;L. purpurea (L.) MILL.;L. purpurea
Sommerblumen-L.;– L. bipartita-Hybriden;Sommerblumen-L.;L. bipartita-Hybriden;L. bipartita-Hybriden;L. bipartita-Hybriden;L. bipartita-Hybriden;L. bipartita-Hybriden
Garten-L., Großes L.;– A. majus L.Ähnlich: Weiches L. – A. mo;Garten-L., Großes L.;A. majus L.Ähnlich: Weiches L. – A. mo;A. majus L.Ähnlich: Weiches L. A. mo;A. majus L.;A. majus L.;A. majus
Liegende A.;– A. procumbens MILL.;Liegende A.;A. procumbens MILL.;A. procumbens MILL.;A. procumbens MILL.;A. procumbens MILL.;A. procumbens
Kletter-A.;– A. scandens (CAV.) PENNELLÄhnlich: Ros;Kletter-A.;A. scandens (CAV.) PENNELLÄhnlich: Ros;A. scandens (CAV.) PENNELLÄhnlich: Ros;A. scandens (CAV.) PENNELL;A. scandens (CAV.) PENNELL;A. scandens
Roter F.;– Ph. capensis E. MEY. ex BENTH.1* B ein;Roter F.;Ph. capensis E. MEY. ex BENTH.1* B ein;Ph. capensis E. MEY. ex BENTH.1* B ein;Ph. capensis E. MEY. ex BENTH.;Ph. capensis E. MEY. ex BENTH.;Ph. capensis
Gelber F.;– Ph. aequalis HARV. ex HIERN;Gelber F.;Ph. aequalis HARV. ex HIERN;Ph. aequalis HARV. ex HIERN;Ph. aequalis HARV. ex HIERN;Ph. aequalis HARV. ex HIERN;Ph. aequalis
Windender F.;– Rh. atrosanguineum (ZUCC.) ROTHM.;Windender F.;Rh. atrosanguineum (ZUCC.) ROTHM.;Rh. atrosanguineum (ZUCC.) ROTHM.;Rh. atrosanguineum (ZUCC.) ROTHM.;Rh. atrosanguineum (ZUCC.) ROTHM.;Rh. atrosanguineum
Zweifarbige C.;– C. bicolor BENTH.Ähnlich: Großblütige ;Zweifarbige C.;C. bicolor BENTH.Ähnlich: Großblütige ;C. bicolor BENTH.Ähnlich: Großblütige ;C. bicolor BENTH.;C. bicolor BENTH.;C. bicolor
Schiefe Sch., Miesmäulchen;– Ch. obliqua L.Ähnlich: Glatte Sch. – C;Schiefe Sch., Miesmäulchen;Ch. obliqua L.Ähnlich: Glatte Sch. – C;Ch. obliqua L.Ähnlich: Glatte Sch. – C;Ch. obliqua L.;Ch. obliqua L.;Ch. obliqua
Große Sch.;– Ch. lyonii PURSH: Bl br eifg, am Grund;Große Sch.;Ch. lyonii PURSH: Bl br eifg, am Grund;Ch. lyonii PURSH: Bl br eifg, am Grund;Ch. lyonii PURSH;Ch. lyonii PURSH;Ch. lyonii
Menzies-B.;– P. menziesii HOOK.Ähnlich: Strauchiger;Menzies-B.;P. menziesii HOOK.Ähnlich: Strauchiger;P. menziesii HOOK.Ähnlich: Strauchiger;P. menziesii HOOK.;P. menziesii HOOK.;P. menziesii
Fels-B.;– P. rupicola (PIPER) HOWELL:Stg u. Bl u;Fels-B.;P. rupicola (PIPER) HOWELL:Stg u. Bl u;P. rupicola (PIPER) HOWELL:Stg u. Bl u;P. rupicola (PIPER) HOWELL;P. rupicola (PIPER) HOWELL;P. rupicola
Rasiger B.;– P. caespitosus NUTT. ex A. GRAYÄhnlich;Rasiger B.;P. caespitosus NUTT. ex A. GRAYÄhnlich;P. caespitosus NUTT. ex A. GRAYÄhnlich;P. caespitosus NUTT. ex A. GRAY;P. caespitosus NUTT. ex A. GRAY;P. caespitosus
Schmuck-B.;– P.-Hybriden;Schmuck-B.;P.-Hybriden;P.-Hybriden;P.-Hybriden;P.-Hybriden;P.-Hybriden
Gelber B.;– P. confertus DOUGLAS;Gelber B.;P. confertus DOUGLAS;P. confertus DOUGLAS;P. confertus DOUGLAS;P. confertus DOUGLAS;P. confertus
Fingerhut-B.;– P. digitalis NUTT.7 (5) B engröhrig, s;Fingerhut-B.;P. digitalis NUTT.7 (5) B engröhrig, s;P. digitalis NUTT.7 (5) B engröhrig, s;P. digitalis NUTT.;P. digitalis NUTT.;P. digitalis
Roter B.;– P. barbatus (CAV.) ROTH7* B nicht scha;Roter B.;P. barbatus (CAV.) ROTH7* B nicht scha;P. barbatus (CAV.) ROTH7* B nicht scha;P. barbatus (CAV.) ROTH;P. barbatus (CAV.) ROTH;P. barbatus
Verschiedenblättriger B.;– P. heterophyllus LINDL.;Verschiedenblättriger B.;P. heterophyllus LINDL.;P. heterophyllus LINDL.;P. heterophyllus LINDL.;P. heterophyllus LINDL.;P. heterophyllus
Glatter B.;– P. glaber PURSHÄhnlich: Einseitswendig;Glatter B.;P. glaber PURSHÄhnlich: Einseitswendig;P. glaber PURSHÄhnlich: Einseitswendig;P. glaber PURSH;P. glaber PURSH;P. glaber
Behaarter B.;– P. hirsutus (L.) WILLD.;Behaarter B.;P. hirsutus (L.) WILLD.;P. hirsutus (L.) WILLD.;P. hirsutus (L.) WILLD.;P. hirsutus (L.) WILLD.;P. hirsutus
Glockiger B.;– P. campanulatus (CAV.) WILLD.11* Pfl k;Glockiger B.;P. campanulatus (CAV.) WILLD.11* Pfl k;P. campanulatus (CAV.) WILLD.11* Pfl k;P. campanulatus (CAV.) WILLD.;P. campanulatus (CAV.) WILLD.;P. campanulatus
Sägeblättriger B.;– P. serrulatus MENZEL ex SM.;Sägeblättriger B.;P. serrulatus MENZEL ex SM.;P. serrulatus MENZEL ex SM.;P. serrulatus MENZEL ex SM.;P. serrulatus MENZEL ex SM.;P. serrulatus
Herzblättrige Sch.;– T. cordifolia L.4 (1) Bl einfach od. 3;Herzblättrige Sch.;T. cordifolia L.4 (1) Bl einfach od. 3;T. cordifolia L.4 (1) Bl einfach od. 3;T. cordifolia L.;T. cordifolia L.;T. cordifolia
Strauchige G.;– M. aurantiacus CURTIS;Strauchige G.;M. aurantiacus CURTIS;M. aurantiacus CURTIS;M. aurantiacus CURTIS;M. aurantiacus CURTIS;M. aurantiacus
Blaue G.;– M. ringens L.;Blaue G.;M. ringens L.;M. ringens L.;M. ringens L.;M. ringens L.;M. ringens
Kupferrote G.;– M. cupreus hort. ex DOMBR.;Kupferrote G.;M. cupreus hort. ex DOMBR.;M. cupreus hort. ex DOMBR.;M. cupreus hort. ex DOMBR.;M. cupreus hort. ex DOMBR.;M. cupreus
