"taxon_name";"frequency";"ornamental";"crop";"wild";"cultivated";"native";"range";"trend";"threat_2018";"threat_1998"
"Agapanthus campanulatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agapanthus africanus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agapanthus praecox";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agastache mexicana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agastache rupestris";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agastache urticifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agastache nepetoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agastache foeniculum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agastache rugosa";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agave americana";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agave parryi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agave toumeyana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agave lechuguilla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agave utahensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Ageratum corymbosum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Ageratum houstonianum";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Ageratum conyzoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agrimonia eupatoria";"s";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*"
"Agrimonia procera";"s";"ornamental";NA;"W";"yes";"native";"mh";"=";"*";"*"
"Agropyron cristatum";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA
"Agrostemma githago";"z";"ornamental";NA;"W";"yes";"native";"ss";"<<<";"2";"1"
"Agrostis rupestris";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Agrostis nebulosa";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agrostis castellana";NA;"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN"
