genus_vernacular;species_vernacular;genus_scientific;species_scientific;frequency;primary_use;secondary_use;wild
Strauchehrenpreis;Kurzröhriger St.;Hebe;H. brachysiphon;Z s;Z;NA;NA
Strauchehrenpreis;Dickblättriger St.;Hebe;H. pinguifolia;Z z;Z;NA;NA
Strauchehrenpreis;Graublättriger St.;Hebe;H. pimeleoides;Z z;Z;NA;NA
Efeu;Gewöhnlicher E.;Hedera;H. helix;Z v;Z;NA;W
Efeu;Kolchischer E.;Hedera;H. colchica;Z s;Z;NA;NA
Schmetterlingsingwer;Himalaja-Sch.;Hedychium;H. gardnerianum;Z s;Z;NA;NA
Schmetterlingsingwer;Ähriger Sch.;Hedychium;H. spicatum;Z s;Z;NA;NA
Süßklee;Alpen-S.;Hedysarum;H. hedysaroides;Z z;Z;NA;W
Süßklee;Vielpaariger S.;Hedysarum;H. multijugum;Z s;Z;NA;NA
Heimie;Weidenblättrige H.;Heimia;H. salicifolia;Z s;Z;NA;NA
Sonnenbraut;Gewöhnliche S.;Helenium;H. autumnale;Z s;Z;NA;NA
Sonnenbraut;Spatelblättrige S.;Helenium;H. hoopesii;Z s;Z;NA;NA
Sonnenbraut;Bigelow-S.;Helenium;H. bigelovii;Z s;Z;NA;NA
Zwergsonnenblume;Fünfnervige Z.;Helianthella;H. quinquenervis;Z s;Z;NA;NA
Sonnenröschen;Alpen-S.;Helianthemum;H. alpestre;Z z;Z;NA;W
Sonnenröschen;Apenninen-S.;Helianthemum;H. apenninum;Z z;Z;NA;W
Sonnenröschen;Gewöhnliches S.;Helianthemum;H. nummularium;Z z;Z;NA;W
Sonnenröschen;Mondfleckiges S.;Helianthemum;H. lunulatum;Z s;Z;NA;NA
Sonnenröschen;Graues S.;Helianthemum;H. canum;Z s;Z;NA;W
Sonnenblume;Gewöhnliche S.;Helianthus;H. annuus;Z v;Z;N;W
Sonnenblume;Silberblatt-S.;Helianthus;H. argophyllus;Z s;Z;NA;NA
Sonnenblume;Mehrstänglige S;Helianthus;H. debilis;Z z;Z;NA;NA
Sonnenblume;Weidenblättrige S;Helianthus;H. salicifolius;Z z;Z;NA;NA
Sonnenblume;Bastard-S., Blühfreudige S.;Helianthus;H. × laetiflorus;Z v;Z;NA;W
Sonnenblume;Wenigblütige S.;Helianthus;H. pauciflorus;Z z;Z;NA;NA
Sonnenblume;Schwarzrote S.;Helianthus;H. atrorubens;Z z;Z;NA;NA
Sonnenblume;Gämswurz-S.;Helianthus;H. × doronicoides;Z s;Z;NA;NA
Sonnenblume;Topinambur;Helianthus;H. tuberosus;Z z;N;Z;NA
Sonnenblume;Zehnstrahlige S.;Helianthus;H. decapetalus;NA;Z;NA;NA
Sonnenblume;Riesen-S.;Helianthus;H. giganteus;Z s;Z;NA;NA
Strohblume, Immortelle;Garten-St.;Helichrysum;H. bracteatum;Z v;Z;NA;NA
Strohblume, Immortelle;Lakritz-St.;Helichrysum;H. petiolare;Z s;Z;NA;NA
Strohblume, Immortelle;Gänseblümchen-St.;Helichrysum;H. bellidioides;Z s;Z;NA;NA
Strohblume, Immortelle;Milford-St.;Helichrysum;H. milfordiae;Z s;Z;NA;NA
Strohblume, Immortelle;Korsische St., Korsisches Edelweiß;Helichrysum;H. frigidum;Z s;Z;NA;NA
Strohblume, Immortelle;Grannenspitzige St;Helichrysum;H. apiculatum;NA;Z;NA;NA
Strohblume, Immortelle;Sand-St.;Helichrysum;H. arenarium;Z z;Z;NA;W
Strohblume, Immortelle;Anatolische St.;Helichrysum;H. plicatum;Z s;Z;NA;NA
Strohblume, Immortelle;Orient-St.;Helichrysum;H. orientale;Z s;Z;NA;NA
Strohblume, Immortelle;Italienische St., Currystrauch;Helichrysum;H. italicum;NA;Z;NA;NA
Strohblume, Immortelle;Glänzende St., Duftende St.;Helichrysum;H. stoechas;Z s;Z;NA;NA
Staudenhafer;Blaustrahl-St;Helictotrichon;H. sempervirens;Z z;Z;NA;NA
Staudenhafer;Steppen-St;Helictotrichon;H. desertorum;Z s;Z;NA;NA
Staudenhafer;Parlatore-St.;Helictotrichon;H. parlatorei;NA;Z;NA;W
Sonnenauge;Garten-S.;Heliopsis;H. helianthoides;Z v;Z;NA;NA
Nieswurz, Christrose;Stinkende N.;Helleborus;H. foetidus;Z z;Z;NA;W
Nieswurz, Christrose;Korsische N.;Helleborus;H. argutifolius;Z z;Z;NA;NA
Nieswurz, Christrose;Schwarze N., Christrose;Helleborus;H. niger;Z v;Z;NA;W
Nieswurz, Christrose;Wohlriechende N.;Helleborus;H. odorus;Z s;Z;NA;NA
Nieswurz, Christrose;Orientalische N.;Helleborus;H. orientalis;Z s;Z;NA;NA
Helonie, Sumpfkolben;Helonie;Helonias;H. bullata;Z s;Z;NA;NA
Taglilie;Braunrote T.;Hemerocallis;H. fulva;Z v;Z;NA;W
Taglilie;Dumortier-T.;Hemerocallis;H. dumortieri;Z s;Z;NA;NA
Taglilie;Middendorff-T.;Hemerocallis;H. middendorffii;Z s;Z;NA;NA
Taglilie;Kleine T., Stern-T.;Hemerocallis;H. minor;Z z;Z;NA;NA
Taglilie;Gelbe T.;Hemerocallis;H. lilioasphodelus;Z z;Z;NA;W
Taglilie;Zitronen-T.;Hemerocallis;H. citrina;Z s;Z;NA;NA
Leberblümchen;Leberblümchen;Hepatica;H. nobilis;Z z;Z;NA;W
Leberblümchen;Siebenbürger L.;Hepatica;H. transsilvanica;Z z;Z;NA;NA
Bärenklau;Steven-B.;Heracleum;H. stevenii;Z z;Z;NA;NA
Bärenklau;Wolliger B.;Heracleum;H. lanatum;Z z;Z;NA;NA
Bärenklau;Riesen-B., Herkulesstaude;Heracleum;H. mantegazzianum;Z v;Z;NA;W
Bruchkraut;Kahles B.;Herniaria;H. glabra;Z z;N;NA;W
Nachtviole;Gewöhnliche N.;Hesperis;H. matronalis;Z v;Z;NA;W
Abendmohn;Abendmohn;Hesperomecon;H. linearis;Z s;Z;NA;NA
Heterocentron;Kriechendes H., Spanischer Schal;Heterocentron;H. elegans;Z s;Z;NA;NA
Heterocentron;Kaskaden-H., Kaskadenblume;Heterocentron;H.-Hybr;Z z;Z;NA;NA
Purpurglöckchen;Echtes P.;Heuchera;H. sanguinea;Z v;Z;NA;NA
Purpurglöckchen;Zylindrisches P.;Heuchera;H. cylindrica;Z z;Z;NA;NA
Purpurglöckchen;Johannisbeerblättriges P.;Heuchera;H. grossulariifolia;Z s;Z;NA;NA
Purpurglöckchen;Prärie-P.;Heuchera;H. richardsonii;Z z;Z;NA;NA
Purpurglöckchen;Hohes P.;Heuchera;H. americana;Z s;Z;NA;NA
Purpurglöckchen;Kahles P.;Heuchera;H. glabra;Z s;Z;NA;NA
Purpurglöckchen;Kleinblütiges P.;Heuchera;H. micrantha;Z s;Z;NA;NA
Roseneibisch;Chinesischer R.;Hibiscus;H. rosa-sinensis;Z s;Z;NA;NA
Roseneibisch;Sumpf-R.;Hibiscus;H. moscheutos;Z s;Z;NA;NA
Roseneibisch;Stunden-R., Garten-R.;Hibiscus;H. trionum;Z s;Z;NA;W
Roseneibisch;Rosella-R.;Hibiscus;H. sabdariffa;Z s;Z;NA;NA
Habichtskraut;Kleines H., Mausohr-H.;Hieracium;H. pilosella;Z z;Z;NA;W
Habichtskraut;Läuferblütiges H.;Hieracium;H. stoloniflorum;Z s;Z;NA;W
Habichtskraut;Orangerotes H.;Hieracium;H. aurantiacum;Z v;Z;NA;W
Habichtskraut;Seidiges H;Hieracium;H. mixtum;Z s;Z;NA;NA
Habichtskraut;Filziges H.;Hieracium;H. tomentosum;Z s;Z;NA;NA
Habichtskraut;Waldstein-H.;Hieracium;H. waldsteinii;Z s;Z;NA;NA
Habichtskraut;Woll-H.;Hieracium;H. villosum;Z s;Z;NA;W
Habichtskraut;Frühblühendes H.;Hieracium;H. glaucinum;Z s;Z;NA;W
Habichtskraut;Dolden-H.;Hieracium;H. umbellatum;Z s;Z;NA;W
Mariengras;Duft-M.;Hierochloë;H. odorata;NA;Z;NA;W
Mariengras;Amerikanisches M.;Hierochloë;H. redolens;Z s;Z;NA;NA
Tannenwedel;Tannenwedel;Hippuris;H. vulgaris;Z z;Z;NA;W
Honiggras;Weiches H.;Holcus;H. mollis;Z s;Z;NA;W
Alpenlattich, Brandlattich;Gewöhnlicher A., Alpen-Brandlattich;Homogyne;H. alpina;Z s;Z;NA;W
Alpenlattich, Brandlattich;Wald-A.;Homogyne;H. sylvestris;Z s;Z;NA;NA
Gerste;Mähnen-G.;Hordeum;H. jubatum;Z z;Z;NA;W
Gerste;Saat-G.;Hordeum;H. vulgare;N v;N;NA;NA
Drachenmaul;Pyrenäen-D.;Horminum;H. pyrenaicum;Z s;Z;NA;W
Funkie;Blaublatt-F.;Hosta;H. sieboldiana;Z v;Z;NA;NA
Funkie;Graublatt-F.;Hosta;H. ‘Fortunei’;Z v;Z;NA;NA
Funkie;Weißrand- F;Hosta;H. sieboldii;Z v;Z;NA;NA
Funkie;Herbst-F.;Hosta;H. ‘Tardiflora’;Z v;Z;NA;NA
Funkie;Lanzen-F.;Hosta;H. ‘Lancifolia’;Z v;Z;NA;NA
Funkie;Lilien-F.;Hosta;H. plantaginea;Z z;Z;NA;NA
Funkie;Glocken-F.;Hosta;H. ventricosa;Z v;Z;NA;NA
Funkie;Grüne Riesen-F.;Hosta;H. ‘Elata’;Z z;Z;NA;NA
Funkie;Riesen-Weißrand-F.;Hosta;H. ‘Crispula’;Z v;Z;NA;NA
Funkie;Schneefeder-F.;Hosta;H. ‘Undulata’;Z v;Z;NA;NA
Wasserfeder, Wasserprimel;Europäische Wasserfeder, Wasserprimel;Hottonia;H. palustris;Z s;Z;NA;W
Porzellansternchen;Blaues P.;Houstonia;H. caerulea;Z s;Z;NA;NA
Houttuynie;Houttuynie;Houttuynie;H. cordata;Z s;Z;NA;NA
Hopfen;Gewöhnlicher H.;Humulus;H. lupulus;Z s;Z;N;NA
Mexikomohn;Mexikomohn;Hunnemannia;H. fumariifolia;Z s;Z;NA;NA
Hyazinthchen;Bleiches H.;Hyacinthella;H. pallens;Z s;Z;NA;NA
Hasenglöckchen, Blauglöckchen;Riviera-H.;Hyacinthoides;H. italica;Z s;Z;NA;NA
Hasenglöckchen, Blauglöckchen;Englisches H.;Hyacinthoides;H. non-scripta;Z z;Z;NA;W
Hasenglöckchen, Blauglöckchen;Spanisches H.;Hyacinthoides;H. hispanica;Z z;Z;NA;W
Hyazinthe;Garten-H.;Hyacinthus;H. orientalis;Z c;Z;NA;NA
Hortensie;Garten-H.;Hydrangea;H. macrophylla;Z s;Z;NA;NA
Orangenwurzel;Kanadische O.;Hydrastis;H. canadensis;Z s;Z;NA;NA
Froschbiss;Froschbiss;Hydrocharis;H. morsus-ranae;Z z;Z;NA;W
Wasserblatt;Kanadisches W.;Hydrophyllum;H. canadense;Z s;Z;NA;NA
Wasserblatt;Virginisches W.;Hydrophyllum;H. virginianum;Z s;Z;NA;NA
Waldmohn;Japanischer W.;Hylomecon;H. japonica;Z z;Z;NA;NA
Bilsenkraut;Schwarzes B.;Hyoscyamus;H. niger;N s;N;NA;W
Bilsenkraut;Weißes B.;Hyoscyamus;H. albus;N s;N;NA;NA
Lappenblume;Dünnfrüchtige L.;Hypecoum;H. leptocarpum f.;Z s;Z;NA;NA
Lappenblume;Niederliegende L.;Hypecoum;H. procumbens;Z s;Z;NA;NA
Lappenblume;Bartlose L.;Hypecoum;H. imberbe;Z s;Z;NA;NA
Hartheu, Johanniskraut;Quirlblättriges H.;Hypericum;H. coris;Z s;Z;NA;NA
Hartheu, Johanniskraut;Mannsblut-H.;Hypericum;H. androsaemum;Z z;Z;NA;NA
Hartheu, Johanniskraut;Kalm-H.;Hypericum;H. kalmianum;Z s;Z;NA;NA
Hartheu, Johanniskraut;Sikkim-H.;Hypericum;H. reptans f.;Z s;Z;NA;NA
Hartheu, Johanniskraut;Immergrünes H., Großblütiges H.;Hypericum;H. calycinum;Z z;Z;NA;NA
Hartheu, Johanniskraut;Orientalisches H.;Hypericum;H. orientale;Z z;Z;NA;NA
Hartheu, Johanniskraut;Balkan-H.;Hypericum;H. annulatum;NA;Z;NA;NA
Hartheu, Johanniskraut;Hornkrautähnliches H.;Hypericum;H. cerastoides;Z s;Z;NA;NA
Hartheu, Johanniskraut;Olymp-H.;Hypericum;H. olympicum;Z z;Z;NA;NA
Hartheu, Johanniskraut;Tüpfel-H.;Hypericum;H. perforatum;N s;Z;N;NA
Hartheu, Johanniskraut;Großes H.;Hypericum;H. ascyron;Z s;Z;NA;NA
Hartheu, Johanniskraut;Flügel-H.;Hypericum;H. tetrapterum;Z z;Z;NA;W
Ferkelkraut;Einköpfiges F.;Hypochoeris;H. uniflora;Z s;Z;NA;W
Ysop;Ysop;Hyssopus;H. officinalis;Z z;N;Z;W
Bürstengras;Flaschen-Bürstengras;Hystrix;H. patula;Z z;Z;NA;NA
Schleifenblume, Bauernsenf;Felsen-Sch.;Iberis;I. saxatilis;Z z;Z;NA;NA
Schleifenblume, Bauernsenf;Immergrüne Sch.;Iberis;I. sempervirens;Z v;Z;NA;NA
Schleifenblume, Bauernsenf;Doldige Sch.;Iberis;I. umbellata;Z z;Z;NA;W
Schleifenblume, Bauernsenf;Bittere Sch.;Iberis;I. amara;Z z;Z;NA;W
Ibervillea;Ibervillea;Ibervillea;I. lindheimeri;Z s;Z;NA;NA
Einhornpflanze;Gelbe E.;Ibicella;I. lutea;Z s;Z;NA;NA
Springkraut;Hawker-S.;Impatiens;I. hawkeri;Z s;Z;NA;NA
Springkraut;Kriechendes S.;Impatiens;I. repens;Z s;Z;NA;NA
Springkraut;Garten-S., Balsamine;Impatiens;I. balsamina;Z z;Z;NA;NA
Springkraut;Niam-Niam-S.;Impatiens;I. niamniamensis;Z s;Z;NA;NA
Springkraut;Drüsiges S.;Impatiens;I. glandulifera;Z z;Z;NA;W
Springkraut;Soden-S.;Impatiens;I. sodenii;Z s;Z;NA;NA
Springkraut;Fleißiges Lieschen;Impatiens;I. walleriana f.;Z z;Z;NA;NA
Springkraut;Assam-S.;Impatiens;I. marianae f.;Z s;Z;NA;NA
Springkraut;Balfour-S.;Impatiens;I. balfourii f.;Z s;Z;NA;NA
Springkraut;Orangefarbenes S.;Impatiens;I. capensis;Z s;Z;NA;NA
Springkraut;Großes S., Rührmichnichtan;Impatiens;I. noli-tangere;Z s;Z;NA;W
Freilandgloxinie;Himalaja-F.;Incarvillea;I. mairei;Z z;Z;NA;NA
Freilandgloxinie;Zentralasiatische F.;Incarvillea;I. semiretschenskia;Z s;Z;NA;NA
Freilandgloxinie;Gedrungene F.;Incarvillea;I. compacta;Z s;Z;NA;NA
Freilandgloxinie;Yunnan-F.;Incarvillea;I. delavayi;Z z;Z;NA;NA
Freilandgloxinie;Chinesische F.;Incarvillea;I. sinensis;Z s;Z;NA;NA
Freilandgloxinie;Scharfe F.;Incarvillea;I. arguta;Z s;Z;NA;NA
Freilandgloxinie;Turkestanische F.;Incarvillea;I. olgae;Z s;Z;NA;NA
Rohrbambus;Schachbrett-R.;Indocalamus;I. tesselatus f.;Z s;Z;NA;NA
Alant;Traubiger A;Inula;I. racemosa f.;Z s;Z;NA;NA
Alant;Echter A., Helenenkraut;Inula;I. helenium;N s;N;Z;W
Alant;Großer A.;Inula;I. magnifica;Z s;Z;NA;NA
Alant;Großkopfiger A.;Inula;I. macrocephala;Z s;Z;NA;NA
Alant;Zwerg-A.;Inula;I. acaulis;Z s;Z;NA;NA
Alant;Kopfiger A.;Inula;I. macrocephala;Z s;Z;NA;NA
Alant;Weidenblättriger A.;Inula;I. salicina;Z s;Z;NA;W
Alant;Schwert-A;Inula;I. ensifolia;Z s;Z;NA;NA
Alant;Rauer A.;Inula;I. hirta;Z s;Z;NA;W
Alant;Christusaugen-A.;Inula;I. oculus-christi;Z s;Z;NA;NA
Alant;Schneeweißer A.;Inula;I. candida;Z s;Z;NA;NA
Alant;Royle-A.;Inula;I. royleana;Z s;Z;NA;NA
Alant;Kolchischer A.;Inula;I. orientalis;Z s;Z;NA;NA
Alant;Hooker-A.;Inula;I. hookeri;Z s;Z;NA;NA
Scheinveilchen;Stängelloses Sch.;Ionopsidium;I. acaule;Z s;Z;NA;NA
Frühlingsstern, Pampaslilie;Einblütiger F.;Ipheion;I. uniflorum;Z s;N;Z;NA
Prunkwinde;Blaue P.;Ipomoea;I. nil;Z s;Z;NA;NA
Prunkwinde;Zypressen-P., Gewöhnliche P.;Ipomoea;I. quamoclit;Z s;Z;NA;NA
Prunkwinde;Gelappte P.;Ipomoea;I. lobata;Z s;Z;NA;NA
Prunkwinde;Scharlachrote P., Sternwinde;Ipomoea;I. coccinea quamoclit;Z s;Z;NA;NA
Prunkwinde;Himmelblaue P.;Ipomoea;I. tricolor;Z z;Z;NA;NA
Prunkwinde;Purpur-P.;Ipomoea;I. purpurea;Z z;Z;NA;NA
Prunkwinde;Efeu-P.;Ipomoea;I. hederacea;Z s;Z;NA;NA
Scharlachgilie;Zypressen-Sch.;Ipomopsis;I. rubra;Z s;Z;NA;NA
Scharlachgilie;Westamerikanische Sch., Himmelsrakete;Ipomopsis;I. aggregata;Z s;Z;NA;NA
Iresine;Brasilianische I., Brutblatt;Iresine;I. herbstii f.;Z z;Z;NA;NA
Iresine;Ekuadorianische I., Linden-I.;Iresine;I. lindenii;Z s;Z;NA;NA
Schwertlilie;Danford-Sch.;Iris;I. danfordiae;Z z;Z;NA;NA
Schwertlilie;Winogradow-Sch.;Iris;I. winogradowii;Z s;Z;NA;NA
Schwertlilie;Kleine Zwerg-Sch.;Iris;I. histrioides;Z s;Z;NA;NA
Schwertlilie;Lichtblaue Zwerg-Sch.;Iris;I. histrio f.;Z s;Z;NA;NA
Schwertlilie;Netz-Sch.;Iris;I. reticulata;Z v;Z;NA;NA
Schwertlilie;Pamphylische Sch.;Iris;I. pamphylica;Z s;Z;NA;NA
Schwertlilie;Englische Sch., Pyrenäen-Sch.;Iris;I. latifolia;Z s;Z;NA;NA
Schwertlilie;Spanische Sch.;Iris;I. xiphium;Z s;Z;NA;NA
Schwertlilie;Buchara-Sch., Geweih-Sch.;Iris;I. bucharica;Z s;Z;NA;NA
Schwertlilie;Rundzungen-Sch.;Iris;I. cycloglossa;Z s;Z;NA;NA
Schwertlilie;Großartige Sch.;Iris;I. magnifica;Z s;Z;NA;NA
Schwertlilie;Warley-Sch.;Iris;I. warleyensis;Z s;Z;NA;NA
Schwertlilie;Vertretende Sch.;Iris;I. vicaria;Z s;Z;NA;NA
Schwertlilie;Reichenbach-Sch.;Iris;I. reichenbachii;Z s;Z;NA;NA
Schwertlilie;Vielfarben-Zwerg-Sch.;Iris;I. suaveolens;Z s;Z;NA;NA
Schwertlilie;Zwerg-Sch.;Iris;I. pumila;Z z;Z;NA;W
Schwertlilie;Grünliche Sch.;Iris;I. lutescens;Z s;Z;NA;NA
Schwertlilie;Bleiche Sch.;Iris;I. pallida;Z s;N;Z;NA
Schwertlilie;Bunte Sch.;Iris;I. variegata;Z s;Z;NA;W
Schwertlilie;Deutsche Sch.;Iris;I. germanica;Z v;N;Z;W
Schwertlilie;Nacktstängel-Sch.;Iris;I. aphylla;Z s;Z;NA;W
Schwertlilie;Korolkow-Sch.;Iris;I. korolkowii;Z s;Z;NA;NA
Schwertlilie;Sand-Sch;Iris;I. humilis;Z s;Z;NA;NA
Schwertlilie;Hoog-Sch.;Iris;I. hoogiana;Z s;Z;NA;NA
Schwertlilie;Ausläufer-Sch.;Iris;I. stolonifera;Z s;Z;NA;NA
Schwertlilie;Kamm-Sch.;Iris;I. cristata;Z s;Z;NA;NA
Schwertlilie;See-Sch., Amerikanische Zwerg-Sch.;Iris;I. lacustris;Z s;Z;NA;NA
Schwertlilie;Dach-Sch.;Iris;I. tectorum;Z s;Z;NA;NA
Schwertlilie;Japanische Zwerg-Sch.;Iris;I. gracilipes;Z s;Z;NA;NA
Schwertlilie;Gefranste Sch.;Iris;I. japonica;Z s;Z;NA;NA
Schwertlilie;Übelriechende Sch.;Iris;I. foetidissima;Z s;Z;NA;NA
Schwertlilie;Winter-Sch.;Iris;I. unguicularis;Z s;Z;NA;NA
Schwertlilie;Borsten-Sch.;Iris;I. setosa;Z s;Z;NA;NA
Schwertlilie;Forrest-Sch.;Iris;I. forrestii;Z s;Z;NA;NA
Schwertlilie;Sibirische Sch., Wiesen-Sch.;Iris;I. sibirica;Z v;Z;NA;W
Schwertlilie;Delavay-Sch.;Iris;I. delavayi;Z s;Z;NA;NA
Schwertlilie;Ostsibirische Sch.;Iris;I. sanguinea;Z v;Z;NA;NA
Schwertlilie;Goldstreifen-Sch.;Iris;I. chrysographes;Z s;Z;NA;NA
Schwertlilie;Monnier-Sch.;Iris;I. monnieri;Z s;Z;NA;W
Schwertlilie;Wasser-Sch., Sumpf-Sch.;Iris;I. pseudacorus;Z z;Z;NA;W
Schwertlilie;Steppen-Sch.;Iris;I. spuria;Z z;Z;NA;W
Schwertlilie;Regenbogen-Sch.;Iris;I. innominata;Z s;Z;NA;NA
Schwertlilie;Japanische Sumpf-Sch.;Iris;I. ensata;Z s;Z;NA;NA
Schwertlilie;Rocky-Mountain-Sch;Iris;I. missouriensis;Z s;Z;NA;NA
Schwertlilie;Siebenbürger Gras-Sch.;Iris;I. ruthenica;Z s;Z;NA;NA
Schwertlilie;Sintenis-Sch;Iris;I. sintenisii;Z s;Z;NA;NA
Schwertlilie;Terrakotta-Sch., Kupfer-Sch.;Iris;I. fulva;Z s;Z;NA;NA
Schwertlilie;Gras-Sch., Pflaumenduft-Sch.;Iris;I. graminea;Z z;Z;NA;W
Schwertlilie;Verschiedenfarbige Sch.;Iris;I. versicolor;Z s;Z;NA;W
Schwertlilie;Orientalische Sch., Schmetterlings-Sch.;Iris;I. orientalis;Z s;Z;NA;NA
Schwertlilie;Asiatische Sumpf-Sch.;Iris;I. laevigata;Z s;Z;NA;NA
Waid;Färber-W.;Isatis;I. tinctoria;Z s;N;NA;W
Bunte Wucherblume;Bunte W.;Ismelia;I. carinata;Z v;Z;NA;NA
Muschelblümchen;Wiesenrauten-M.;Isopyrum;I. thalictroides;Z z;Z;NA;NA
Steppenlilie, Ixialilie;Steppenlilie, Ixialilie;Ixiolirion;I. tataricum;Z s;Z;NA;NA
Jankäa;Thessalische J.;Jancaea;J. heldreichii;Z s;Z;NA;NA
Jasione, Sandknöpfchen;Sandknöpfchen, Berg-Jasione, Schafrapunzel;Jasione;J. montana;Z s;Z;NA;W
Jasione, Sandknöpfchen;Ausdauernde J.;Jasione;J. laevis;Z s;Z;NA;W
Jasione, Sandknöpfchen;Krause J.;Jasione;J. crispa;Z s;Z;NA;NA
Jeffersonie;Zweiblättrige J., Zwillingsblatt;Jeffersonia;J. diphylla;Z s;Z;NA;NA
Jeffersonie;Ganzblättrige J., Herzblattschale;Jeffersonia;J. dubia f.;Z s;Z;NA;NA
Donarsbart, Fransenhauswurz;Donarsbart, Fransenhauswurz;Jovibarba;J. globifera;Z z;Z;NA;W
Binse;Schwertblättrige B.;Juncus;J. ensifolius;Z s;Z;NA;W
Binse;Blaugrüne B.;Juncus;J. inflexus;NA;Z;NA;W
Binse;Flatter-B.;Juncus;J. effusus;Z z;Z;NA;W
Binse;Knäuel-B.;Juncus;J. conglomeratus;Z z;Z;NA;W
Silberscharte, Bisamdistel;Geflügelte S.;Jurinea;J. alata;Z s;Z;NA;NA
Zwergscharte;Duftende Z.;Jurinella;J. moschus;Z s;Z;NA;NA
Lorbeerrose, Kalmie;Schmalblättrige L.;Kalmia;K. angustifolia;Z s;Z;NA;NA
Lorbeerrose, Kalmie;Poleiblättrige L.;Kalmia;K. polifolia;Z s;Z;NA;NA
Lorbeerrose, Kalmie;Breitblättrige L., Berg-L.;Kalmia;K. latifolia;Z z;Z;NA;NA
Kugelschötchen;Felsen-K.;Kernera;K. saxatilis;Z s;Z;NA;W
Wachsglocke;Wachsglocke;Kirengeshoma;K. palmata;Z s;Z;NA;NA
Kitaibelie;Weinblättrige K.;Kitaibela;K. vitifolia;Z s;Z;NA;NA
Witwenblume;Balkan-W.;Knautia;K. drymeia;Z s;Z;NA;W
Witwenblume;Orientalische W.;Knautia;K. orientalis;Z s;Z;NA;NA
Witwenblume;Mazedonische W.;Knautia;K. macedonica;Z s;Z;NA;NA
Witwenblume;Acker-W.;Knautia;K. arvensis;Z s;Z;NA;W
Witwenblume;Wald-W.;Knautia;K. dipsacifolia;Z s;Z;NA;W
Fackellilie;Schwertblättrige F.;Kniphofia;K. ensifolia;Z s;Z;NA;NA
Fackellilie;Frühe F;Kniphofia;K. praecox;Z s;Z;NA;NA
Fackellilie;Schopf-F., Traubige F.;Kniphofia;K. uvaria;Z z;Z;NA;NA
Fackellilie;Langblättrige F;Kniphofia;K. linearifolia;Z z;Z;NA;NA
Fackellilie;Zitronen-F;Kniphofia;K. citrina;Z s;Z;NA;NA
Fackellilie;Wenigblütige F.;Kniphofia;K. pauciflora;Z s;Z;NA;NA
Fackellilie;Drakensberg-F.;Kniphofia;K. rufa;Z s;Z;NA;NA
Fackellilie;Grasblättrige F.;Kniphofia;K. triangularis;Z s;Z;NA;NA
Fackellilie;Galpin-F.;Kniphofia;K. galpinii;Z s;Z;NA;NA
Schillergras, Kammschmiele;Blaugrünes Sch.;Koeleria;K. glauca;Z z;N;Z;W
Lattich, Salat;Gift-L.;Lactuca;L. virosa;NA;N;NA;NA
Lattich, Salat;Garten-Salat;Lactuca;L. sativa;N v;N;NA;NA
Flaschenkürbis;Flaschenkürbis;Lagenaria;L. siceraria;Z s;Z;NA;NA
Hasenschwanzgras;Hasenschwanzgras;Lagurus;L. ovatus;Z z;Z;NA;W
Lallemantie;Schild-L.;Lallemantia;L. peltata;Z s;Z;NA;NA
Lallemantie;Weißgraue L.;Lallemantia;L. canescens;Z s;Z;NA;NA
Goldgras;Goldgras;Lamarckia;L. aurea;Z z;Z;NA;NA
Taubnessel;Großblütige T.;Lamium;L. orvala;Z s;Z;NA;NA
Taubnessel;Gargano-T.;Lamium;L. garganicum;Z s;Z;NA;NA
Taubnessel;Weiße T.;Lamium;L. album;Z s;Z;NA;W
Taubnessel;Gefleckte T.;Lamium;L. maculatum;Z z;Z;NA;W
Lampranthus;Rosablütiger L.;Lampranthus;L. roseus;Z v;Z;NA;NA
Lampranthus;Ansehnlicher L.;Lampranthus;L. conspicuus;Z v;Z;NA;NA
Wandelröschen;Wandelröschen;Lantana;L. camara;Z z;Z;NA;NA
Platterbse;Frühlings-P.;Lathyrus;L. vernus;Z s;Z;NA;W
Platterbse;Transsilvanische P.;Lathyrus;L. transsilvanicus;Z s;Z;NA;NA
Platterbse;Großblütige P.;Lathyrus;L. grandiflorus;Z s;Z;NA;NA
Platterbse;Saat-P.;Lathyrus;L. sativus;N s;N;NA;NA
Platterbse;Duftende P.;Lathyrus;L. odoratus;Z v;Z;NA;NA
Platterbse;Wald-P.;Lathyrus;L. sylvestris;Z s;Z;NA;W
Platterbse;Breitblättrige P.;Lathyrus;L. latifolius;Z v;Z;NA;W
Laurentie;Felsen-Laurentie;Laurentia;L. axillaris;Z s;Z;NA;NA
Lorbeer;Gewürz-Lorbeer, Lorbeerbaum;Laurus;L. nobilis;Z z;Z;NA;NA
Lavendel;Echter L.;Lavandula;L. angustifolia;Z z;N;Z;NA
Lavendel;Schopf-L.;Lavandula;L. stoechas;Z s;Z;NA;NA
Strauchpappel, Strauchmalve;Bäumchenähnliche St.;Lavatera;L. arborea;Z z;Z;NA;NA
Strauchpappel, Strauchmalve;Sommer-St., Garten-St.;Lavatera;L. trimestris;Z z;Z;NA;NA
Strauchpappel, Strauchmalve;Thüringer St.;Lavatera;L. thuringiaca;Z s;Z;NA;W
