genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Alpenveilchen;Kreta-A.;Cyclamen;C. creticum;Z;NA;NA
Alpenveilchen;Efeublättriges A.;Cyclamen;C. repandum;Z;NA;NA
Alpenveilchen;Freiland-A.;Cyclamen;C. coum;Z;NA;NA
Alpenveilchen;Südosttürkisches A.;Cyclamen;C. pseudibericum;Z;NA;NA
Alpenveilchen;Flügelrand-A.;Cyclamen;C. trochopteranthum;Z;NA;NA
Alpenveilchen;Kleinblütiges A.;Cyclamen;C. parviflorum;Z;NA;NA
Heilglöckel;Semenov-H.;Cortusa;C. semenovii;Z;NA;NA
Heilglöckel;Peking-H., Chinesi-sches H.;Cortusa;C. pekinensis;Z;NA;W
Heilglöckel;Alpen-H.;Cortusa;C. matthioli;Z;NA;W
Mannsschild;Riesen-M.;Androsace;A. maxima;Z;NA;W
Mannsschild;Fädiger M.;Androsace;A. filiformis;Z;NA;NA
Mannsschild;Verlängerter M.;Androsace;A. elongata;Z;NA;W
Mannsschild;Nördlicher M.;Androsace;A. septentrionalis;Z;NA;W
Mannsschild;Rundblättriger M.;Androsace;A. rotundifolia;Z;NA;NA
Mannsschild;Frauenmantel-M.;Androsace;A. alchemilloides;Z;NA;NA
Mannsschild;Sikkim-M.;Androsace;A. strigillosa;Z;NA;NA
Mannsschild;Milchweißer M.;Androsace;A. lactea;Z;NA;W
Mannsschild;Zottiger M.;Androsace;A. villosa;Z;NA;NA
Mannsschild;Bewimperter M.;Androsace;A. chamaejasme;Z;NA;W
Mannsschild;Fleischroter M.;Androsace;A. carnea;Z;NA;NA
Mannsschild;Stumpfblättriger M.;Androsace;A. obtusifolia;Z;NA;W
Mannsschild;Kugeltragender M.;Androsace;A. globifera;Z;NA;NA
Mannsschild;Pyrenäen-M.;Androsace;A. pyrenaica;Z;NA;NA
Mannsschild;Milchweißer M.;Androsace;A. lactea;Z;NA;W
Mannsschild;Vandell-M.;Androsace;A. vandellii;Z;NA;NA
Mannsschild;Zylindrischer M.;Androsace;A. cylindrica;Z;NA;NA
Mannsschild;Schweizer M.;Androsace;A. helvetica;Z;NA;W
Mannsschild;Apenninischer M.;Androsace;A. mathildae;Z;NA;NA
Mannsschild;Weichhaariger M.;Androsace;A. pubescens;Z;NA;NA
Mannsschild;Alpen-M.;Androsace;A. alpina;Z;NA;NA
Mutterwurz;Alpen-M.;Ligusticum;L. mutellina;Z;NA;W
Milchlattich;Alpen-M.;Cicerbita;C. alpina;Z;NA;W
Goldprimel;Goldprimel;Vitaliana;V. primuliflora;Z;NA;NA
