genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Baldrian;Stein-B.;Valeriana;V. tripteris;Z;NA;W
Baldrian;Zwerg-B.;Valeriana;V. supina;Z;NA;W
Büschelglocke, Krugglock;Zwerg-B.;Edraianthus;E. pumilio;Z;NA;NA
Baldrian;Kaukasus-B.;Valeriana;V. alliariifolia;Z;NA;NA
Baldrian;Felsen-B.;Valeriana;V. saxatilis;Z;NA;W
Baldrian;Berg-B.;Valeriana;V. montana;Z;NA;W
Spornblume;Schmalblättrige S.;Centranthus;C. angustifolius;Z;NA;NA
Spornblume;Rote S.;Centranthus;C. ruber;Z;NA;W
Spornblume;Großröhrige S.;Centranthus;C. macrosiphon;Z;NA;NA
Spornblume;Fußangel-S.;Centranthus;C. calcitrapae;Z;NA;NA
Kardendistel;Langblättrige K.;Morina;M. longifolia;Z;NA;NA
Königskerze;Langblättrige K.;Verbascum;V. longifolium;Z;NA;NA
Kardendistel;Coulter-K.;Morina;M. coulteriana;Z;NA;NA
Schuppenkopf;Weißer Sch.;Cephalaria;C. leucantha;Z;NA;NA
Schlangenbart;Weißer Sch.;Ophiopogon;O. jaburan;Z;NA;NA
Schuppenkopf;Riesen-Sch.;Cephalaria;C. gigantea;Z;NA;NA
Schwingel;Riesen-Sch.;Festuca;F. gigantea;Z;NA;W
Schuppenkopf;Alpen-Sch.;Cephalaria;C. alpina;Z;NA;NA
Karde;Weber-K.;Dipsacus;D. sativus;Z;NA;W
Karde;Wilde K.;Dipsacus;D. fullonum;Z;NA;W
Teufelsabbiss;Teufelsabbiss;Succisa;S. pratensis;Z;NA;W
Moorabbiss;Eingebogener M.;Succisella;S. inflexa;Z;NA;W
Witwenblume;Orientalische W.;Knautia;K. orientalis;Z;NA;NA
Witwenblume;Mazedonische W.;Knautia;K. macedonica;Z;NA;NA
Witwenblume;Acker-W.;Knautia;K. arvensis;Z;NA;W
Witwenblume;Wald-W.;Knautia;K. dipsacifolia;Z;NA;W
Skabiose, Krätzkraut;Purpur-S.;Scabiosa;S. atropurpurea;Z;NA;NA
Skabiose, Krätzkraut;Syrische S.;Scabiosa;S. prolifera;Z;NA;NA
Skabiose, Krätzkraut;Stern-S.;Scabiosa;S. stellata;Z;NA;NA
Skabiose, Krätzkraut;Grasblättrige S.;Scabiosa;S. graminifolia;Z;NA;NA
Skabiose, Krätzkraut;Kaukasus-S.;Scabiosa;S. caucasica;Z;NA;NA
Skabiose, Krätzkraut;Glanz-S.;Scabiosa;S. lucida;Z;NA;W
Skabiose, Krätzkraut;Tauben-S.;Scabiosa;S. columbaria;Z;NA;W
Flügelkopf;Mehrjähriger F.;Pterocephalus;P. perennis;Z;NA;NA
Glockenrebe;Glockenrebe;Cobaea;C. scandens;Z;NA;NA
Phlox, Flammenblume;Einjähriger Ph., Sommer-Ph.;Phlox;Ph. drummondii;Z;NA;NA
Phlox, Flammenblume;Wald-Ph., Blauer Ph.;Phlox;Ph. divaricata;Z;NA;NA
Phlox, Flammenblume;Prärie-Ph.;Phlox;Ph. pilosa;Z;NA;NA
Phlox, Flammenblume;Hoher Stauden-Ph.;Phlox;Ph. paniculata;Z;NA;NA
Phlox, Flammenblume;Wiesen-Ph.;Phlox;Ph. maculata;Z;NA;NA
Phlox, Flammenblume;Wander-Ph.;Phlox;Ph. stolonifera;Z;NA;NA
Phlox, Flammenblume;Sand-Ph.;Phlox;Ph. bifida;Z;NA;NA
Phlox, Flammenblume;Moos-Ph.;Phlox;Ph. subulata;Z;NA;NA
Phlox, Flammenblume;Kissen-Ph.;Phlox;Ph. caespitosa;Z;NA;NA
Phlox, Flammenblume;Polster-Ph.;Phlox;Ph. douglasii;Z;NA;NA
Phlox, Flammenblume;Ausgebreiteter Ph.;Phlox;Ph. diffusa;Z;NA;NA
Leimsaat, Schleimsame, Kollomie;Großblütige L.;Collomia;C. grandiflora;Z;NA;NA
Leimsaat, Schleimsame, Kollomie;Scharlachrote L.;Collomia;C. cavanillesii;Z;NA;NA
Gilie;Dreifarbige G.;Gilia;G. tricolor;Z;NA;NA
Gilie;Nadelkissen-G., Kopfblütige G.;Gilia;G. capitata;Z;NA;NA
Gilie;Kalifornische G.;Gilia;G. achilleifolia;Z;NA;NA
Scharlachgilie;Zypressen-Sch.;Ipomopsis;I. rubra;Z;NA;NA
Scharlachgilie;Westamerikanische Sch., Himmelsrakete;Ipomopsis;I. aggregata;Z;NA;NA
Linanthus, Bergphlox;Gemeiner L.;Linanthus;L. androsaceus;Z;NA;NA
Linanthus, Bergphlox;Nuttall-L.;Linanthus;L. nuttallii;Z;NA;NA
Linanthus, Bergphlox;Nelkenblütiger L.;Linanthus;L. dianthiflorus;Z;NA;NA
Linanthus, Bergphlox;Großblütiger L.;Linanthus;L. grandiflorum;Z;NA;NA
Himmelsleiter;Klebrige H.;Polemonium;P. viscosum;Z;NA;NA
Himmelsleiter;Brandegee-H.;Polemonium;P. brandegei;Z;NA;NA
Himmelsleiter;Zierliche H.;Polemonium;P. elegans;Z;NA;NA
Himmelsleiter;Armblütige H.;Polemonium;P. pauciflorum;Z;NA;NA
Himmelsleiter;Schöne H.;Polemonium;P. pulcherrimum;Z;NA;NA
Himmelsleiter;Fleischfarbene H.;Polemonium;P. carneum;Z;NA;NA
Himmelsleiter;Blattreiche H.;Polemonium;P. foliosissimum;Z;NA;NA
Himmelsleiter;Blaue H.;Polemonium;P. caeruleum;Z;NA;W
Himmelsleiter;Japanische H.;Polemonium;R. illecebrosus;N;Z;NA
Winde;Eibisch-W.;Convolvulus;C. althaeoides;Z;NA;NA
Winde;Kriechende W.;Convolvulus;C. sabatius;Z;NA;NA
Winde;Dreifarbige W.;Convolvulus;C. tricolor;Z;NA;NA
Winde;Kantabrische W.;Convolvulus;C. cantabrica;Z;NA;NA
Winde;Boissier-W.;Convolvulus;C. boissieri;Z;NA;NA
Zaunwinde, Strandwinde;Strandwinde;Calystegia;C. soldanella;Z;NA;W
Zaunwinde, Strandwinde;Gefülltblütige Z., Efeu-Z.;Calystegia;C. pubescens;Z;NA;NA
Zaunwinde, Strandwinde;Gewöhnliche Z., Echte Z.;Calystegia;C. sepium;Z;NA;W
Zaunwinde, Strandwinde;Wald-Z.;Calystegia;C. silvatica;Z;NA;W
Zaunwinde, Strandwinde;Schöne Z.;Calystegia;C. pulchra;Z;NA;W
Prunkwinde;Zypressen-P., Gewöhnliche P.;Ipomoea;I. quamoclit;Z;NA;NA
Prunkwinde;Gelappte P.;Ipomoea;I. lobata;Z;NA;NA
Prunkwinde;Scharlachrote P., Sternwinde;Ipomoea;I. coccinea quamoclit;Z;NA;NA
Prunkwinde;Himmelblaue P.;Ipomoea;I. tricolor;Z;NA;NA
Prunkwinde;Purpur-P.;Ipomoea;I. purpurea;Z;NA;NA
Prunkwinde;Efeu-P.;Ipomoea;I. hederacea;Z;NA;NA
Wasserblatt;Virginisches W.;Hydrophyllum;H. virginianum;Z;NA;NA
Hainblume;Gefleckte H., Fünffleck;Nemophila;N. maculata;Z;NA;NA
Hainblume;Menzies-H., Blaue H.;Nemophila;N. menziesii;Z;NA;NA
Phazelie, Büschelschön;Seidenhaarige Ph.;Phacelia;Ph. sericea;Z;NA;NA
Phazelie, Büschelschön;Rainfarn-Ph.;Phacelia;Ph. tanacetifolia;N;Z;NA
Phazelie, Büschelschön;Klebrige Ph.;Phacelia;Ph. viscida;Z;NA;NA
Phazelie, Büschelschön;Großblütige Ph.;Phacelia;Ph. grandiflora;Z;NA;NA
Phazelie, Büschelschön;Parry-Ph.;Phacelia;Ph. parryi;Z;NA;NA
Phazelie, Büschelschön;Kleine Ph.;Phacelia;Ph. minor;Z;NA;NA
Phazelie, Büschelschön;Glocken-Ph., Wüsten-Blauglocke;Phacelia;Ph. campanularia;Z;NA;NA
Prophetenblume;Prophetenblume;Arnebia;A. pulchra;Z;NA;NA
Steinsame;Purpurblauer St.;Buglossoides;B. purpurocaerulea;Z;NA;W
Lotwurz;Weißrosafarbene L.;Onosma;O. alboroseum;Z;NA;NA
Lotwurz;Sternchen-L.;Onosma;O. stellulatum;Z;NA;NA
Wachsblume;Kleine W.;Cerinthe;C. minor;Z;NA;W
Wachsblume;Alpen-W.;Cerinthe;C. glabra;Z;NA;W
Wachsblume;Große W.;Cerinthe;C. major;Z;NA;NA
Moltkie;Doerfler-M.;Moltkia;M. doerfleri;Z;NA;NA
Moltkie;Italienische M.;Moltkia;M. suffruticosa;Z;NA;NA
Steinsame;Zwergstrauchiger St.;Lithodora;L. diffusa;Z;NA;NA
Alkanna, Schminkwurz;Orientalische A.;Alkanna;A. orientalis;Z;NA;NA
Alkanna, Schminkwurz;Griechische A.;Alkanna;A. graeca;Z;NA;NA
Alkanna, Schminkwurz;Schminkwurz-A., Schminkwurz;Alkanna;A. tuberculata;Z;NA;NA
Alkanna, Schminkwurz;Kissenbildende A.;Alkanna;A. aucherana;Z;NA;NA
Alkanna, Schminkwurz;Weißgraue A.;Alkanna;A. incana;Z;NA;NA
Natternkopf;Wegerich-N.;Echium;E. plantagineum;Z;NA;NA
Lungenkraut;Echtes L.;Pulmonaria;P. officinalis;Z;NA;W
Lungenkraut;Rotes L.;Pulmonaria;P. rubra;Z;NA;NA
Lungenkraut;Schmalblättriges L.;Pulmonaria;P. angustifolia;Z;NA;W
Lungenkraut;Langblättriges L.;Pulmonaria;P. longifolia;Z;NA;NA
Lungenkraut;Weiches L.;Pulmonaria;P. mollis;Z;NA;W
Lungenkraut;Siebenbürgisches L.;Pulmonaria;P. dacica;Z;NA;NA
Lungenkraut;Italienisches L.;Pulmonaria;P. vallarsae;Z;NA;NA
Lungenkraut;Langblättriges L.;Pulmonaria;P. longifolia;Z;NA;NA
Lungenkraut;Zucker-L.;Pulmonaria;P. saccharata;Z;NA;NA
Beinwell;Kaukasischer B.;Symphytum;S. caucasicum;Z;NA;NA
Beinwell;Rauer B., Comfrey;Symphytum;S. asperum;Z;NA;W
Beinwell;Futter-B., Comfrey;Symphytum;S. × uplandicum;N;Z;NA
Beinwell;Herzblättriger B.;Symphytum;S. cordatum;Z;NA;NA
Beinwell;Knoten-B.;Symphytum;S. tuberosum;Z;NA;W
Beinwell;Kriechender B.;Symphytum;S. ibericum;Z;NA;NA
Boretsch;Einjähriger B., Gurkenkraut;Borago;B. officinalis;N;Z;NA
Boretsch;Ausdauernder B.;Borago;B. pygmaea;Z;NA;NA
Ochsenzunge;Italienische O.;Anchusa;A. azurea;Z;NA;W
Ochsenzunge;Kap-O., Kapvergissmeinnicht;Anchusa;A. capensis;Z;NA;NA
Ochsenzunge;Barrelier-O.;Cynoglottis;C. barrelieri;Z;NA;NA
Kaukasusvergissmeinnicht;Großblättriges K.;Brunnera;B. macrophylla;Z;NA;NA
Fünfzunge;Fünfzunge;Pentaglottis;P. sempervirens;Z;NA;NA
Blauglöckchen;Virginisches B.;Mertensia;M. virginica;Z;NA;NA
Blauglöckchen;Rispiges B.;Mertensia;M. paniculata;Z;NA;NA
Blauglöckchen;Behaartes B.;Mertensia;M. echioides;Z;NA;NA
Blauglöckchen;Primelähnliches B.;Mertensia;M. primuloides;Z;NA;NA
Blauglöckchen;Alpines B.;Mertensia;M. alpina;Z;NA;NA
Vergissmeinnicht;Neuseeländisches V.;Myosotis;M. colensoi;Z;NA;NA
Vergissmeinnicht;Bodensee-V.;Myosotis;M. rehsteineri;Z;NA;W
Vergissmeinnicht;Alpen-V.;Myosotis;M. alpestris;Z;NA;W
Vergissmeinnicht;Wald-V., Garten-V.;Myosotis;M. sylvatica;Z;NA;W
Gedenkemein, Nabelnüsschen;Leinblättriges G.;Omphalodes;O. linifolia;Z;NA;NA
Gedenkemein, Nabelnüsschen;Glänzendes G.;Omphalodes;O. nitida;Z;NA;NA
Gedenkemein, Nabelnüsschen;Fels-G.;Omphalodes;O. luciliae;Z;NA;NA
Gedenkemein, Nabelnüsschen;Kleinasiatisches G.;Omphalodes;O. cappadocica;Z;NA;NA
Gedenkemein, Nabelnüsschen;Frühlings-G.;Omphalodes;O. verna;Z;NA;W
Hundszunge;Chinesische H., Chinesisches Vergissmeinnicht;Cynoglossum;C. amabile;Z;NA;NA
Lindelofie;Langblättrige L.;Lindelofia;L. longiflora;Z;NA;NA
Tabak;Filziger T.;Nicotiana;N. tomentosa;Z;NA;NA
Tabak;Langblütiger T.;Nicotiana;N. longiflora;Z;NA;NA
Tabak;Bauern-T.;Nicotiana;N. rustica;Z;N;NA
Tabak;Forget-T.;Nicotiana;N. forgetiana;Z;NA;NA
Tabak;Duftender T.;Nicotiana;N. suaveolens;Z;NA;NA
Tabak;Wilder T.;Nicotiana;N. sylvestris;Z;NA;NA
Tabak;Virginischer T.;Nicotiana;N. tabacum;Z;N;NA
Tabak;Geflügelter T.;Nicotiana;N. alata;Z;NA;NA
Tabak;Sander-T.;Nicotiana;N. sanderae;Z;NA;NA
Petunie;Violette P.;Petunia;P. integrifolia;Z;NA;NA
Browallie;Kleinblütige B., Amethyst-B.;Browallia;B. americana;Z;NA;NA
Browallie;Großblütige B.;Browallia;B. speciosa;Z;NA;NA
Bergminze;Großblütige B.;Calamintha;C. grandiflora;Z;NA;NA
Braunelle;Großblütige B.;Prunella;P. grandiflora;Z;NA;W
Ballonblume, Ballonglocke;Großblütige B.;Platycodon;P. grandiflorus;Z;NA;NA
Nierembergie, Becherblüte;Schmalblättrige N.;Nierembergia;N. linariifolia;Z;NA;NA
Nierembergie, Becherblüte;Strauch-N.;Nierembergia;N. scoparia;Z;NA;NA
Giftbeere;Giftbeere;Nicandra;N. physalodes;Z;NA;NA
Stechapfel;Gewöhnlicher St.;Datura;D. stramonium;Z;NA;NA
Stechapfel;Indischer St., Flaumiger St.;Datura;D. metel;Z;NA;NA
Stechapfel;Wright-St.;Datura;D. wrightii;Z;NA;NA
Stechapfel;Feinstachliger St.;Datura;D. inoxia;Z;NA;NA
Blasenkirsche;Gewöhnliche B., Laternenpflanze, Judenkirsche;Physalis;Ph. alkekengi;Z;NA;NA
Blasenkirsche;"Peruanische B., Kapstachelbeere; Andenkirsche";Physalis;Ph. peruviana;N;NA;NA
Paprika, Spanischer Pfeffer;Paprika, Chili, Peperoni;Capsicum;C. annuum;Z;N;NA
Nachtschatten;Bittersüßer N., Bittersüß;Solanum;S. dulcamara;Z;NA;W
Nachtschatten;Jasmin-N;Solanum;S. laxum;Z;NA;NA
Nachtschatten;Schwarzer N.;Solanum;S. nigrum;N;NA;W
Nachtschatten;Korallenstrauch, Jerusalemkirsche;Solanum;S. pseudocapsicum;Z;NA;NA
Nachtschatten;Kartoffel;Solanum;S. tuberosum;N;Z;NA
Nachtschatten;Eierfrucht, Aubergine;Solanum;S. melongena;N;NA;NA
Nachtschatten;Pepino, Melonenbirne, Balkon-Honigmelone;Solanum;S. muricatum;N;NA;NA
Nachtschatten;Vogel-N., Känguruapfel;Solanum;S. aviculare;Z;NA;NA
Nachtschatten;Raukenblättriger N., Klebriger N.;Solanum;S. sisymbriifolium;Z;NA;NA
Nachtschatten;Schmalblättriger N.;Solanum;S. angustifolium;Z;NA;NA
Nachtschatten;Wassermelonenblättriger N.;Solanum;S. citrullifolium;Z;NA;NA
Nachtschatten;Riesen-N.;Solanum;S. giganteum;Z;NA;NA
Nachtschatten;Robuster N.;Solanum;S. robustum;Z;NA;NA
Nachtschatten;Dunkelvioletter N.;Solanum;S. atropurpureum;Z;NA;NA
Nachtschatten;Feuerdorn-N.;Solanum;S. pyracanthos;Z;NA;NA
Nachtschatten;Äthiopischer N., Weißrandiger N.;Solanum;S. marginatum f.;Z;NA;NA
Lycianthes;Enzianstrauch, Blauer Kartoffelstrauch;Lycianthes;L. rantonnei;Z;NA;NA
Tomate;Johannisbeer-Tomate;Lycopersicon;L. pimpinellifolium;N;NA;NA
Tomate;Tomate;Lycopersicon;L. esculentum;N;Z;NA
Tollkirsche;Tollkirsche;Atropa;A. bella-donna;N;NA;W
Bilsenkraut;Schwarzes B.;Hyoscyamus;H. niger;N;NA;W
Bilsenkraut;Weißes B.;Hyoscyamus;H. albus;N;NA;NA
Trompetenzunge;Trompetenzunge;Salpiglossis;S. sinuata;Z;NA;NA
Tollkraut;Krainer T.;Scopolia;S. carniolica;Z;NA;NA
Tollkraut;Fahlgelbes T.;Scopolia;S. anomala;Z;NA;NA
Spaltblume;Abgestumpfte S.;Schizanthus;Sch. grahamii;Z;NA;NA
Spaltblume;Gefiederte S.;Schizanthus;Sch. pinnatus;Z;NA;NA
Glockenwinde;Niederliegende G.;Nolana;N. humifusa;Z;NA;NA
Glockenwinde;Großblütige G.;Nolana;N. paradoxa;Z;NA;W
Königskerze;Purpur-K.;Verbascum;V. phoeniceum;Z;NA;W
Königskerze;Schwarze K.;Verbascum;V. nigrum;Z;NA;W
Königskerze;Kandelaber-K.;Verbascum;V. olympicum;Z;NA;NA
Königskerze;Großblütige K.;Verbascum;V. densiflorum;N;Z;NA
Katzenminze;Großblütige K.;Nepeta;N. grandiflora;Z;NA;W
Königskerze;Windblumen-K.;Verbascum;V. phlomoides;N;Z;NA
Elfensporn;Einjähriger E.;Diascia;D. barberae f.;Z;NA;NA
Angelonie;Horntragende A.;Angelonia;A. cornigera;Z;NA;NA
Pantoffelblume;Dreiteilige P.;Calceolaria;C. tripartita;Z;NA;NA
Pantoffelblume;Runzlige P.;Calceolaria;C. integrifolia;Z;NA;NA
Pantoffelblume;Zweiblütige P.;Calceolaria;C. biflora;Z;NA;NA
Pantoffelblume;Vielwurzlige P.;Calceolaria;C. polyrrhiza;Z;NA;NA
Zimbelkraut;Mauer-Z.;Cymbalaria;C. muralis;Z;NA;W
Zimbelkraut;Blasses Z.;Cymbalaria;C. pallida;Z;NA;NA
Orant, Zwerg-Löwenmaul;Dostblättriger O.;Chaenorhinum;Ch. Origanifolium;Z;NA;NA
Leinkraut;Ginsterblättriges L.;Linaria;L. genistifolia;Z;NA;W
Leinkraut;Gewöhnliches L., Frauenflachs;Linaria;L. vulgaris;Z;NA;W
Leinkraut;Purpur-L.;Linaria;L. purpurea;Z;NA;NA
Leinkraut;Sommerblumen-L.;Linaria;L. bipartita-Hybriden;Z;NA;NA
Löwenmaul;Garten-L., Großes L.;Antirrhinum;A. majus;Z;NA;W
Löwenmaul;Weiches L.;Antirrhinum;P. mollis;Z;NA;W
Asarine, Maurandie;Liegende A.;Asarina;A. procumbens;Z;NA;W
Asarine, Maurandie;Kletter-A.;Asarina;A. scandens;Z;NA;NA
Fünferling;Roter F.;Phygelius;Ph. capensis;Z;NA;NA
Fingerhut;Roter F.;Digitalis;D. purpurea;N;Z;W
Fünferling;Gelber F.;Phygelius;Ph. aequalis;Z;NA;NA
Fingerhut;Gelber F.;Digitalis;D. lutea;Z;NA;W
Rosenkelch, Purpurglockenwein;Windender F.;Rhodochiton;Rh. atrosanguineum;Z;NA;NA
Collinsie;Zweifarbige C.;Collinsia;C. bicolor;Z;NA;NA
Calandrinie;Großblütige C.;Calandrinia;C. grandiflora;Z;NA;NA
Schildblume, Schlangenkopf;Schiefe Sch., Miesmäulchen;Chelone;Ch. obliqua;Z;NA;NA
Schildblume, Schlangenkopf;Große Sch.;Chelone;Ch. lyonii;Z;NA;NA
Bartfaden;Menzies-B.;Penstemon;P. menziesii;Z;NA;NA
Bartfaden;Fels-B.;Penstemon;P. rupicola;Z;NA;NA
Bartfaden;Rasiger B.;Penstemon;P. caespitosus;Z;NA;NA
Bartfaden;Schmuck-B.;Penstemon;P.-Hybriden;Z;NA;NA
Bartfaden;Gelber B.;Penstemon;P. confertus;Z;NA;NA
Bertram, Ringblume, Kreisblume, Zwergmargerit;Gelber B.;Anacyclus;A. radiatus;Z;NA;NA
Bartfaden;Fingerhut-B.;Penstemon;P. digitalis;Z;NA;NA
Bartfaden;Roter B.;Penstemon;P. barbatus;Z;NA;NA
Bartfaden;Verschiedenblättriger B.;Penstemon;P. heterophyllus;Z;NA;NA
Bartfaden;Glatter B.;Penstemon;P. glaber;Z;NA;NA
Bartfaden;Behaarter B.;Penstemon;P. hirsutus;Z;NA;NA
Bartfaden;Glockiger B.;Penstemon;P. campanulatus;Z;NA;NA
Bartfaden;Sägeblättriger B.;Penstemon;P. serrulatus;Z;NA;NA
Schneeflockenblume;Herzblättrige Sch.;Sutera;S. cordata;Z;NA;NA
Gauklerblume;Strauchige G.;Mimulus;M. aurantiacus;Z;NA;NA
Goldmargerite, Kapmargerite;Strauchige G.;Euryops;E. chrysanthemoides;Z;NA;NA
Gauklerblume;Blaue G.;Mimulus;M. ringens;Z;NA;NA
Gauklerblume;Kupferrote G.;Mimulus;M. cupreus;Z;NA;NA
Goldrute;Gefleckte G.;Solidago;S. sphacelata;Z;NA;NA
Gauklerblume;Gefleckte G.;Mimulus;M. guttatus;Z;NA;W
Gauklerblume;Gelbe G.;Mimulus;M. luteus;Z;NA;NA
Gauklerblume;Moschus-G.;Mimulus;M. moschatus;Z;NA;W
Gauklerblume;Scharlachrote G.;Mimulus;M. cardinalis;Z;NA;NA
Torenie;Fournier-T.;Torenia;T. fournieri;Z;NA;NA
Lippenmäulchen;Zwerg-L.;Mazus;M. pumilio;Z;NA;NA
Lippenmäulchen;Kriechendes L.;Mazus;M. radicans;Z;NA;NA
Ehrenpreis;Virginischer E.;Veronica;V. virginica;Z;NA;NA
Ehrenpreis;Enzian-E.;Veronica;V. gentianoides;Z;NA;NA
Ehrenpreis;Bach-E., Bachbunge;Veronica;V. beccabunga;Z;NA;W
Ehrenpreis;Österreichischer E.;Veronica;V. austriaca;Z;NA;W
Ehrenpreis;Großer E.;Veronica;V. teucrium;Z;NA;W
Ehrenpreis;Gamander-E.;Veronica;V. chamaedrys;Z;NA;W
Ehrenpreis;Nesselblättriger E.;Veronica;V. urticifolia;Z;NA;W
Ehrenpreis;Faden-E.;Veronica;V. filiformis;Z;NA;W
Ehrenpreis;Schmidt-E.;Veronica;V. schmidtiana;Z;NA;NA
Ehrenpreis;Armenischer E.;Veronica;V. armena;Z;NA;NA
Ehrenpreis;Seidiger E.;Veronica;V. bombycina;Z;NA;NA
Ehrenpreis;Schösslings-E.;Veronica;V. surculosa;Z;NA;NA
Ehrenpreis;Poleiblättriger E.;Veronica;V. polifolia;Z;NA;NA
Ehrenpreis;Graublättriger E.;Veronica;V. cinerea;Z;NA;NA
Ehrenpreis;Blattloser E.;Veronica;V. aphylla;Z;NA;W
Ehrenpreis;Halbstrauch-E.;Veronica;V. fruticulosa;Z;NA;W
Ehrenpreis;Felsen-E.;Veronica;V. fruticans;Z;NA;W
Ehrenpreis;Allioni-E.;Veronica;V. allionii;Z;NA;NA
Ehrenpreis;Kriechender E.;Veronica;V. repens;Z;NA;NA
Ehrenpreis;Orientalischer E.;Veronica;V. orientalis;Z;NA;NA
Ehrenpreis;Liegender E.;Veronica;V. prostrata;Z;NA;W
Blauweiderich;Silbergrauer B.;Pseudolysimachion;P. incanum;Z;NA;NA
Blauweiderich;Ähren-B.;Pseudolysimachion;P. spicatum;Z;NA;W
Blauweiderich;Langblättriger B.;Pseudolysimachion;P. longifolium;Z;NA;W
Blauweiderich;Rispen-B.;Pseudolysimachion;P. spurium;Z;NA;W
Strauchehrenpreis;Ockergelber St.;Hebe;H. ochracea;Z;NA;NA
Strauchehrenpreis;Zypressen-St.;Hebe;H. cupressoides;Z;NA;NA
Strauchehrenpreis;Buchsblättriger St.;Hebe;H. buxifolia;Z;NA;NA
Strauchehrenpreis;Kurzröhriger St.;Hebe;H. brachysiphon;Z;NA;NA
Strauchehrenpreis;Dickblättriger St.;Hebe;H. pinguifolia;Z;NA;NA
Strauchehrenpreis;Graublättriger St.;Hebe;H. pimeleoides;Z;NA;NA
Frühlingsschelle;Stern-F.;Synthyris;S. stellata;Z;NA;NA
Fingerhut;Großblütiger F.;Digitalis;D. grandiflora;Z;N;W
Frauenschuh;Großblütiger F.;Cypripedium;C. macranthos;Z;NA;NA
Fingerhut;Wolliger F.;Digitalis;D. lanata;N;Z;NA
Fingerhut;Rostfarbiger F.;Digitalis;D. ferruginea;Z;NA;NA
Kühtritt;Kärntner K.;Wulfenia;W. carinthiaca;Z;NA;NA
Kühtritt;Albanischer K.;Wulfenia;W. baldaccii;Z;NA;NA
Kühtritt;Himalaja-K.;Wulfenia;W. amherstiana;Z;NA;NA
Sommerwurz;Efeu-S.;Orobanche;O. hederae;Z;NA;W
Kugelblume;Herzblättrige K.;Globularia;G. cordifolia;Z;NA;W
Kugelblume;Fadenblütige K.;Globularia;G. trichosantha;Z;NA;NA
Kugelblume;Nacktstängel-K.;Globularia;G. nudicaulis;Z;NA;W
Kugelblume;Echte K.;Globularia;G. bisnagarica;Z;NA;W
Katzenminze;Echte K.;Nepeta;N. cataria;Z;NA;W
Kamille;Echte K.;Matricaria;M. recutita;N;NA;W
Schönranke;Schönranke;Eccremocarpus;E. scaber;Z;NA;NA
Freilandgloxinie;Zentralasiatische F.;Incarvillea;I. semiretschenskia;Z;NA;NA
Freilandgloxinie;Gedrungene F.;Incarvillea;I. compacta;Z;NA;NA
Freilandgloxinie;Yunnan-F.;Incarvillea;I. delavayi;Z;NA;NA
Freilandgloxinie;Chinesische F.;Incarvillea;I. sinensis;Z;NA;NA
Freilandgloxinie;Scharfe F.;Incarvillea;I. arguta;Z;NA;NA
Freilandgloxinie;Turkestanische F.;Incarvillea;I. olgae;Z;NA;NA
Thunbergie;Geflügelte Th., Schwarzäugige Susanne;Thunbergia;Th. alata;Z;NA;NA
Ruellie, Wilde Petunie;Behaarte R.;Ruellia;R. humilis;Z;NA;NA
Ruellie, Wilde Petunie;Kahle R.;Ruellia;R. strepens;Z;NA;NA
Strobilanthe, Zapfenblume;Nesselblättrige S.;Strobilanthes;St. attenuata subsp. atten;Z;NA;NA
Akanthus;Dioskurides-A.;Acanthus;A. dioscoridis;Z;NA;NA
Akanthus;Ungarischer A.;Acanthus;A. hungaricus;Z;NA;NA
Akanthus;Behaarter A.;Acanthus;A. hirsutus f. roseus;Z;NA;NA
Akanthus;Behaarter A.;Acanthus;A. hirsutus;Z;NA;NA
Akanthus;Dorniger A.;Acanthus;A. spinosus;Z;NA;NA
Akanthus;Ungarischer A.;Acanthus;A. hungaricus;Z;NA;NA
Akanthus;Weicher A.;Acanthus;A. mollis;Z;NA;NA
Gämshorn;Lousiana-G., Gewöhnliche Teufelsklaue;Proboscidea;P. louisianica;Z;NA;NA
Einhornpflanze;Gelbe E.;Ibicella;I. lutea;Z;NA;NA
Martynie;Einjährige M.;Martynia;M. annua;Z;NA;NA
Felsenteller;Pyrenäen-F.;Ramonda;R. myconi;Z;NA;NA
Felsenteller;Nathalia-F.;Ramonda;R. nathaliae;Z;NA;NA
Jankäa;Thessalische J.;Jancaea;J. heldreichii;Z;NA;NA
Haberlee;Rhodopen-H.;Haberlea;H. rhodopensis;Z;NA;NA
Petrocosmee;Assam-P.;Petrocosmea;P. parryorum;Z;NA;NA
Drehfrucht;Felsen-D., Falsches Afrikanisches Veilchen;Streptocarpus;St. saxorum;Z;NA;NA
Fettkraut;Alpen-F.;Pinguicula;P. clusiana;Z;NA;W
Fettkraut;Echtes F.;Pinguicula;P. recta;Z;NA;W
Fettkraut;Dünnsporniges F.;Pinguicula;P. leptoceras;Z;NA;NA
Fettkraut;Großblütiges F.;Pinguicula;P. grandiflora;Z;NA;NA
Fettkraut;Langblättriges F.;Pinguicula;P. longifolia;Z;NA;NA
Wegerich;Sand-W.;Plantago;P. arenaria;N;NA;W
Wegerich;Spitz-W.;Plantago;P. lanceolata;N;NA;W
Losbaum;Ostafrikanischer L.;Clerodendrum;C. ugandense;Z;NA;NA
Wandelröschen;Wandelröschen;Lantana;L. camara;Z;NA;NA
Teppichverbene, Phyle;Knotenblütige T.;Phyla;P. nodiflora;Z;NA;NA
