"taxon_name";"frequency";"ornamental";"crop";"wild";"cultivated";"native";"range";"trend";"threat_2018";"threat_1998";"PlantGrowthForm"
"Agrostis canina";NA;"ornamental";NA;"W";"yes";"native";"h";"<";"*";"*";"graminoid"
"Ajania pacifica";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Ajuga reptans";"v";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*";"herb"
"Ajuga genevensis";"s";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"V";"herb"
"Ajuga pyramidalis";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"3";"herb"
"Alcea rosea";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Alchemilla saxatilis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Alchemilla sericea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Alchemilla conjuncta";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Alchemilla nitida";"s";"ornamental";NA;"W";"yes";"native";"ss";"?";"*";"kN";NA
"Alchemilla hoppeana";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";NA
"Alchemilla alpigena";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";NA
"Alchemilla faeroensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Alchemilla splendens";"s";"ornamental";NA;"W";"yes";"native";"es";"?";"R";"nb";"herb"
"Alchemilla sericata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Alchemilla glaucescens";"s";"ornamental";NA;"W";"yes";"native";"mh";"<<";"3";"3";"herb"
"Alchemilla caucasica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Alchemilla vulgaris";"s";"ornamental";NA;"W";"yes";"native";"mh";"<";"*";"V";"herb"
"Alchemilla epipsila";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Alchemilla mollis";"v";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN";"herb"
"Alchemilla speciosa";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Alisma gramineum";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"*";"herb"
"Alisma lanceolatum";"s";"ornamental";NA;"W";"yes";"native";"mh";"=";"*";"*";"herb"
"Alisma plantago-aquatica";"v";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*";"herb"
"Alisma subcordatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Alkanna orientalis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
