Vernacular_name;Species;Genus;Author
Wiesenraute;Akelei-W.;Thalictrum;L.
Wiesenraute;Gelbe W.;Thalictrum;L.
Wiesenraute;Blaugrüne W., Pracht-W.;Thalictrum;L.
Rautenanemone;Rautenanemone;Anemonella;SPACH
Windröschen, Anemone;Weinblättrige A.;Anemone;L.
Windröschen, Anemone;Filzblättrige A.;Anemone;L.
Windröschen, Anemone;Herbst-A.;Anemone;L.
Windröschen, Anemone;Carolina-A.;Anemone;L.
Windröschen, Anemone;Westmediterrane A.;Anemone;L.
Windröschen, Anemone;Garten-A., Kronen-A.;Anemone;L.
Windröschen, Anemone;Stern-A.;Anemone;L.
Windröschen, Anemone;Pfauen-A.;Anemone;L.
Windröschen, Anemone;Monte Baldo-W., Tiroler W.;Anemone;L.
Windröschen, Anemone;Spanische A.;Anemone;L.
Windröschen, Anemone;Felsen-W.;Anemone;L.
Windröschen, Anemone;Großes W.;Anemone;L.
Windröschen, Anemone;Pazifisches W.;Anemone;L.
Windröschen, Anemone;Virginische A.;Anemone;L.
Windröschen, Anemone;Langkopf-A.;Anemone;L.
Windröschen, Anemone;Richardson-A.;Anemone;L.
Windröschen, Anemone;Bach-W.;Anemone;L.
Windröschen, Anemone;Westhimalaische A.;Anemone;L.
Windröschen, Anemone;Narzissen-W., Berghähnlein;Anemone;L.
Windröschen, Anemone;Kanadisches W.;Anemone;L.
Windröschen, Anemone;Gabel-A.;Anemone;L.
Windröschen, Anemone;Narzissen-W.,Berghähnlein;Anemone;L.
Windröschen, Anemone;Fiederblättrige A.;Anemone;L.
Windröschen, Anemone;Löffelblättrige A.;Anemone;L.
Windröschen, Anemone;Stumpflappige A.;Anemone;L.
Windröschen, Anemone;Apenninen-W.;Anemone;L.
Windröschen, Anemone;Balkan-W.;Anemone;L.
Windröschen, Anemone;Baikal-W.;Anemone;L.
Windröschen, Anemone;Schlaffe A.;Anemone;L.
Windröschen, Anemone;Rückwärtsgebogene A.;Anemone;L.
Windröschen, Anemone;Gelbes W.;Anemone;L.
Windröschen, Anemone;Dreiblatt-W.;Anemone;L.
Windröschen, Anemone;Altai-W.;Anemone;L.
Windröschen, Anemone;Busch-W.;Anemone;L.
Leberblümchen;Leberblümchen;Hepatica;MILL.
Leberblümchen;Siebenbürger L.;Hepatica;MILL.
Küchenschelle, Kuhschelle;Alpen-K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Goldgelbe K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Brocken-K., Brockenanemone;Pulsatilla;L.
Küchenschelle, Kuhschelle;Frühlings-K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Gelbliche K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Finger-K., Stern-K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Berg-K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Kaukasische K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Wiesen-K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Slawische K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Steirische K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Gewöhnliche K.;Pulsatilla;L.
Küchenschelle, Kuhschelle;Große K.;Pulsatilla;L.
Waldrebe;Dsungarische W.;Clematis;L.
Waldrebe;Ganzblättrige W.;Clematis;L.
Waldrebe;Gelbliche W.;Clematis;L.
Waldrebe;Addison-W.;Clematis;L.
Waldrebe;Großblättrige W., Trompeten-W.;Clematis;L.
Waldrebe;Aufrechte W.;Clematis;L.
Waldrebe;Alpen-W., Alpenrebe;Clematis;L.
Waldrebe;Großblumige W.;Clematis;L.
Waldrebe;Armand-W.;Clematis;L.
Waldrebe;Jackman-W.;Clematis;L.
Waldrebe;Wollige W.;Clematis;L.
Waldrebe;Rehder-W.;Clematis;L.
Waldrebe;Mongolische W.;Clematis;L.
Waldrebe;Gewöhnliche W.;Clematis;L.
